,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,345.279,56.5412,350.429,56.5336,355.496,56.3938,370.708,56.3738,375.882,56.3258,380.776,56.4189,385.739,56.4499,391.033,56.4266,396.15,61.1855,411.3,56.5709
neck,345.378,122.194,350.377,127.182,355.485,117.24,370.596,112.195,375.775,111.976,380.744,107.196,381.087,111.995,386.154,117.087,391.02,117.226,401.083,117.227
RShoulder,299.608,122.265,299.901,127.177,304.829,122.155,309.991,117.098,324.982,107.193,330.207,107.083,335.24,107.052,340.292,111.99,345.127,112.132,345.583,112.204
RElbow,223.578,127.282,228.761,132.264,243.825,132.268,254.064,132.377,259.23,117.189,264.11,112.144,264.144,112.178,269.351,112.182,279.376,127.325,284.553,117.054
RWrist,162.684,101.972,172.934,106.992,177.898,106.966,183.086,102.006,188.078,101.84,188.348,96.7628,198.208,96.8737,208.475,101.722,213.542,101.897,218.445,101.849
LShoulder,396.198,112.208,406.244,122.187,416.2,117.074,421.147,112.062,421.45,107.184,426.492,107.178,431.731,112.033,446.757,117.113,451.729,122.255,456.851,127.144
LElbow,467.092,112.169,472.133,122.206,477.228,112.031,477.31,107.146,492.311,102.114,502.346,101.946,502.568,106.993,507.71,122.283,507.745,132.151,512.903,127.194
LWrist,538.101,101.815,548.197,101.986,553.472,97.0232,548.361,96.929,548.371,91.8556,553.495,81.5941,558.424,91.7455,578.581,96.8761,583.624,101.76,583.881,101.8
MidHip,345.559,264.256,350.608,264.079,355.617,264.114,370.799,259.29,375.728,259.293,380.661,264.058,380.976,264.0,385.974,264.06,386.1,264.172,391.203,264.284
RHip,314.891,264.273,325.089,264.128,335.062,264.138,340.249,259.293,340.365,259.285,345.122,264.036,345.433,259.291,350.613,259.369,355.529,264.125,365.691,264.18
RKnee,309.852,380.992,320.09,380.746,330.141,375.741,335.146,365.701,335.184,365.643,340.094,375.808,340.12,365.676,340.291,370.762,340.467,380.595,340.503,380.835
RAnkle,330.14,472.235,335.077,472.232,325.116,472.232,310.058,472.209,310.042,472.2,330.179,472.22,314.947,472.208,330.023,472.239,335.139,472.233,335.016,472.269
LHip,381.075,264.223,385.986,264.054,386.118,264.079,391.214,259.255,396.203,259.246,411.256,264.116,416.402,264.12,421.411,264.18,421.504,264.227,426.573,264.348
LKnee,396.131,380.838,401.206,370.724,411.247,380.557,421.204,370.574,416.387,350.404,421.208,380.735,421.313,380.633,421.392,380.675,421.482,380.927,426.424,385.699
LAnkle,421.504,472.244,421.416,472.197,426.401,472.235,426.47,472.196,421.646,431.632,421.543,472.219,421.318,472.199,421.464,472.243,421.41,472.264,421.516,472.285
REye,340.106,56.1632,345.153,56.1893,345.373,56.0288,350.481,55.9872,360.499,55.9611,370.635,55.9701,375.869,56.0424,385.74,56.0404,386.01,56.2355,391.004,56.1727
LEye,350.487,56.0489,360.645,56.0826,370.788,51.2969,380.666,51.239,380.982,51.2676,385.867,51.3064,390.953,51.3015,406.223,55.9612,416.185,56.1313,421.257,56.0617
REar,320.038,61.4206,335.039,61.4885,340.007,61.2909,340.308,61.2181,345.258,61.1429,345.615,56.543,355.434,61.2881,375.559,61.2966,375.801,61.4148,380.771,61.3509
LEar,375.69,61.258,380.737,61.3427,381.082,61.1819,386.055,56.4919,391.004,56.5222,401.106,56.5226,416.25,56.5397,421.392,61.181,421.646,61.347,426.622,61.2651
LBigToe,0.0,0.0,421.32,472.223,0.0,0.0,426.397,472.216,426.454,436.771,421.544,472.237,421.33,472.228,421.425,472.251,421.433,472.267,421.382,472.313
LSmallToe,0.0,0.0,431.654,472.231,0.0,0.0,436.77,472.246,436.657,441.728,436.607,472.234,431.511,472.249,431.556,472.262,431.519,472.278,431.542,472.304
LHeel,426.3,472.253,421.501,472.21,426.463,472.246,426.523,472.218,421.534,431.774,421.611,472.22,421.363,472.224,421.584,472.245,421.475,472.271,421.548,472.289
RBigToe,0.0,0.0,330.194,472.268,325.046,472.249,309.822,472.236,0.0,0.0,330.088,472.241,314.894,472.245,320.065,472.261,330.097,472.254,0.0,0.0
RSmallToe,0.0,0.0,330.068,472.286,324.995,472.271,304.824,472.238,0.0,0.0,324.97,472.262,309.801,472.242,320.022,472.277,330.072,472.274,0.0,0.0
RHeel,340.182,472.217,340.221,472.226,335.127,472.231,325.002,472.222,324.982,472.213,335.291,472.218,325.064,472.22,335.189,472.241,340.137,472.237,335.263,472.262
