,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,390.968,102.234,385.931,101.95,385.68,101.742,380.623,101.691,370.688,97.0046,360.542,97.0225,345.553,97.02,340.41,96.9857,340.147,102.018,335.007,107.012
neck,386.105,167.878,380.873,167.773,380.668,167.867,375.612,167.747,355.458,167.824,345.663,162.834,345.193,162.868,340.09,162.823,335.121,167.794,325.047,172.836
RShoulder,345.211,157.694,335.282,152.738,335.048,157.661,320.112,152.577,309.786,152.735,304.829,152.644,299.823,152.752,289.582,152.686,284.397,157.672,274.381,167.731
RElbow,315.03,228.665,304.991,223.804,304.723,223.802,299.756,223.699,299.489,223.897,289.556,223.89,279.49,223.913,264.154,223.721,259.23,223.625,259.121,223.856
RWrist,304.842,299.649,304.609,299.705,299.749,294.645,294.7,294.541,289.606,294.737,289.474,299.63,274.423,299.587,264.199,299.425,259.362,294.467,259.3,294.48
LShoulder,431.586,177.706,426.41,172.917,421.576,177.696,421.194,177.705,406.221,177.726,391.099,172.916,386.025,172.786,381.041,172.722,380.716,172.777,375.684,173.02
LElbow,446.684,253.961,431.569,248.933,426.583,248.937,421.498,248.97,416.213,249.003,391.057,249.051,386.228,238.863,386.229,233.727,386.054,228.801,385.783,238.793
LWrist,421.557,304.804,421.178,304.761,416.185,304.628,391.134,304.57,385.827,304.644,380.849,305.041,380.605,304.592,380.665,299.671,380.755,299.452,380.649,304.654
MidHip,370.606,309.961,355.458,309.891,350.381,309.875,345.451,304.988,340.364,304.987,340.066,304.978,335.142,304.868,330.07,305.021,324.993,304.93,314.995,309.914
RHip,340.08,305.047,330.161,304.967,324.999,304.995,314.891,304.827,304.96,304.842,304.606,304.856,299.825,304.796,299.488,305.021,294.726,304.947,294.549,309.935
RKnee,310.067,426.599,304.99,426.519,304.657,421.372,304.646,416.383,299.961,421.362,299.837,421.303,299.767,421.192,299.615,421.557,299.452,421.508,299.412,426.35
RAnkle,305.024,472.303,304.931,472.299,304.61,472.296,304.571,472.295,304.585,472.289,304.609,472.3,304.61,472.288,304.54,472.292,299.856,472.287,299.746,472.288
LHip,391.129,315.033,386.062,314.852,385.794,310.033,380.942,309.862,375.687,309.846,365.652,309.811,355.545,304.95,350.545,305.039,345.668,304.933,345.505,309.873
LKnee,406.224,426.551,396.18,426.456,396.021,426.355,390.965,426.517,385.833,426.315,385.68,426.389,380.757,416.348,380.857,421.442,380.648,421.429,380.636,426.524
LAnkle,416.343,472.325,411.174,472.325,411.176,472.326,396.145,472.333,391.198,472.314,401.06,472.319,391.218,472.303,395.988,472.311,390.895,472.311,386.109,472.32
REye,385.843,101.711,380.893,96.8721,380.664,96.6464,370.738,96.5804,355.471,91.7872,350.321,91.8106,340.52,91.8503,339.969,91.7843,330.178,96.9413,314.987,101.837
LEye,406.191,101.775,391.169,96.9499,386.217,96.7486,385.755,96.7003,380.753,96.5654,375.744,96.5787,355.624,96.5929,345.512,91.8754,345.192,97.0031,340.217,101.868
REar,375.732,102.011,360.633,101.873,355.514,101.701,350.428,97.0104,345.132,96.8759,340.249,96.8551,335.006,97.0591,314.876,96.9767,305.002,101.833,304.676,102.109
LEar,421.373,102.128,416.282,101.984,406.129,101.867,390.992,101.945,385.92,101.787,381.025,101.725,375.83,101.731,360.512,101.71,350.495,101.962,345.355,102.231
LBigToe,0.0,0.0,411.232,472.368,0.0,0.0,0.0,0.0,391.012,472.372,0.0,0.0,390.968,472.362,0.0,0.0,0.0,0.0,385.896,472.373
LSmallToe,0.0,0.0,416.342,472.368,0.0,0.0,0.0,0.0,401.15,472.371,0.0,0.0,396.194,472.361,0.0,0.0,0.0,0.0,396.178,472.372
LHeel,421.226,472.352,416.289,472.35,416.15,472.351,401.207,472.357,391.066,472.331,401.111,472.349,390.988,472.312,0.0,0.0,0.0,0.0,386.095,472.343
RBigToe,304.777,472.357,304.647,472.362,299.805,472.359,299.605,472.368,304.761,472.372,0.0,0.0,0.0,0.0,304.814,472.375,0.0,0.0,299.668,472.374
RSmallToe,0.0,0.0,0.0,0.0,299.568,472.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.657,472.366,0.0,0.0,279.396,472.369
RHeel,309.935,472.284,309.877,472.287,304.942,472.299,304.88,472.298,304.898,472.299,304.921,472.323,304.935,472.298,304.91,472.303,304.69,472.296,304.591,472.304
