,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,426.288,198.245,426.766,218.496,431.59,243.875,431.48,289.495,456.937,294.738,461.807,294.654,466.95,269.334,467.275,264.22,467.303,264.467,467.329,279.415
neck,421.578,233.811,426.562,254.168,426.72,279.362,451.789,310.023,456.799,335.178,466.864,320.053,466.994,309.854,467.231,304.877,467.318,309.8,467.213,319.981
RShoulder,385.701,233.767,386.026,258.927,386.093,284.527,406.254,325.039,411.379,340.059,421.602,324.989,421.548,309.935,426.271,304.88,426.473,305.092,426.464,320.023
RElbow,345.204,264.282,350.591,299.795,365.593,340.046,380.609,391.119,381.031,401.128,390.926,385.801,391.194,380.679,396.208,375.638,411.159,375.763,416.448,385.869
RWrist,401.135,259.127,421.254,274.448,416.3,309.977,426.559,365.544,462.015,365.725,466.974,350.575,462.173,345.546,462.003,345.355,456.987,345.651,467.197,345.578
LShoulder,462.025,238.783,467.076,254.08,472.044,269.492,492.375,304.92,497.392,325.154,507.431,315.028,507.74,305.019,512.804,304.771,512.85,305.035,507.936,314.954
LElbow,517.86,259.349,517.747,274.457,507.92,314.946,537.935,370.684,542.981,385.713,538.047,381.033,542.979,380.716,542.952,380.903,538.064,385.75,537.994,390.927
LWrist,456.89,249.068,467.223,259.315,467.239,294.465,472.204,340.325,492.347,355.45,492.394,345.544,472.09,345.428,477.148,345.455,477.174,345.602,487.409,350.485
MidHip,421.362,345.634,426.707,360.547,436.744,385.801,462.215,431.641,461.953,431.716,466.94,436.801,467.277,431.667,472.234,426.575,472.097,431.505,467.175,472.186
RHip,386.064,345.617,406.118,360.587,416.269,385.795,426.68,431.704,426.495,431.778,436.565,436.727,441.62,431.598,446.746,426.544,446.772,426.696,436.598,472.173
RKnee,335.259,375.624,340.422,380.973,355.534,391.107,436.703,385.867,446.819,385.919,401.102,390.987,386.023,390.914,390.959,386.115,406.231,386.199,0.0,0.0
RAnkle,380.991,472.258,391.172,472.264,411.375,472.263,461.948,472.277,456.881,472.279,426.506,472.276,426.608,472.277,426.574,472.27,421.566,472.266,0.0,0.0
LHip,446.774,345.602,461.993,355.594,467.117,385.712,497.576,431.564,492.403,431.644,502.368,451.906,502.686,431.737,507.633,426.694,507.505,431.675,502.651,472.19
LKnee,502.495,350.48,507.788,365.641,517.774,386.089,538.031,385.933,542.863,386.002,543.163,391.132,543.079,390.957,543.195,401.155,532.87,421.274,538.061,431.648
LAnkle,492.447,472.223,517.712,472.291,512.663,472.291,538.021,472.296,532.97,472.306,517.756,472.296,507.796,472.298,512.63,472.302,507.731,472.296,507.727,472.304
REye,421.221,188.084,421.638,213.31,426.361,228.825,426.296,274.376,441.626,284.56,456.749,284.47,461.88,264.194,462.164,259.147,462.207,264.034,466.863,269.267
LEye,426.792,188.061,436.733,208.459,441.778,228.714,436.653,269.331,461.973,284.482,462.169,284.4,472.085,264.19,477.253,259.146,477.272,263.99,477.315,269.219
REar,396.028,193.286,406.233,218.321,411.244,238.82,421.157,274.499,426.397,294.616,446.88,289.512,441.715,264.473,446.803,264.074,451.844,264.396,456.906,274.325
LEar,451.781,198.274,456.884,213.535,456.955,233.835,461.741,269.43,467.096,289.648,472.07,279.499,492.319,264.487,497.527,259.264,497.561,264.148,497.477,269.492
LBigToe,492.397,472.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.577,472.332,0.0,0.0,0.0,0.0,0.0,0.0
LSmallToe,507.665,472.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.777,472.341,0.0,0.0,0.0,0.0,0.0,0.0
LHeel,487.365,472.253,512.797,472.29,512.687,472.294,542.832,472.321,532.927,472.321,517.885,472.315,0.0,0.0,512.77,472.312,0.0,0.0,0.0,0.0
RBigToe,0.0,0.0,0.0,0.0,0.0,0.0,451.787,472.336,0.0,0.0,421.383,472.322,426.541,472.336,426.385,472.323,421.279,472.304,0.0,0.0
RSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,451.768,472.329,0.0,0.0,0.0,0.0,411.284,472.327,0.0,0.0,396.083,472.308,0.0,0.0
RHeel,386.097,472.254,406.185,472.255,416.416,472.268,461.868,472.27,0.0,0.0,0.0,0.0,426.493,472.256,426.451,472.252,421.401,472.247,0.0,0.0
