,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,396.134,299.461,411.318,304.678,411.258,304.647,401.095,299.789,385.853,284.54,380.828,274.494,370.614,289.437,365.704,299.523,370.577,304.689,375.697,304.666
neck,386.23,325.074,390.906,340.088,390.907,340.04,386.108,340.033,380.909,319.941,375.881,310.07,355.63,314.948,350.615,335.047,350.607,340.008,370.665,335.3
RShoulder,345.572,319.979,350.417,335.132,350.468,335.039,345.425,330.212,340.182,314.964,335.155,314.902,314.928,315.032,310.043,335.194,314.931,340.076,330.109,335.109
RElbow,304.889,380.677,309.872,381.033,309.906,385.747,304.97,385.829,304.784,380.895,304.778,380.81,304.674,380.868,304.563,390.944,304.767,386.051,304.943,385.837
RWrist,375.691,375.837,380.932,380.778,380.811,380.766,380.697,380.601,375.807,370.732,375.594,375.587,375.674,370.748,380.657,370.743,375.68,380.592,375.867,375.708
LShoulder,431.526,330.032,431.571,340.065,426.791,340.096,426.696,340.13,421.526,319.941,416.421,309.941,406.104,309.932,396.002,325.09,391.164,335.066,411.289,335.109
LElbow,436.687,375.694,431.527,381.018,431.656,385.752,431.512,386.182,426.471,380.613,426.428,375.67,416.324,375.583,416.309,380.623,421.43,380.808,421.583,375.876
LWrist,406.151,380.699,390.997,380.821,406.167,380.585,396.04,380.79,380.884,375.806,390.966,375.786,360.557,370.649,345.503,370.659,386.053,380.55,386.002,370.626
MidHip,381.017,426.736,380.836,431.708,380.692,431.673,380.648,431.774,375.654,431.561,375.618,426.439,350.562,426.695,350.526,431.569,350.45,426.516,350.538,426.418
RHip,350.472,426.539,345.541,426.768,345.435,426.737,345.273,426.777,340.319,426.729,340.293,426.42,330.131,426.714,330.049,431.59,330.028,426.571,335.026,426.391
RKnee,304.848,391.031,304.866,396.194,304.885,396.017,299.889,396.1,299.682,391.18,299.501,391.209,289.616,401.107,304.678,406.273,315.0,416.294,314.906,416.294
RAnkle,304.816,472.282,304.816,472.281,304.741,472.283,304.594,472.294,304.727,472.289,304.594,472.288,304.737,472.28,304.882,472.304,299.879,472.28,304.93,472.279
LHip,411.234,431.597,406.159,436.792,401.102,436.75,401.111,441.771,391.222,431.701,391.207,426.518,385.811,426.697,385.846,431.567,385.746,426.492,385.791,426.458
LKnee,456.808,406.141,451.712,406.127,441.742,401.075,0.0,0.0,436.72,391.165,441.759,391.182,426.735,391.025,426.509,396.194,426.651,406.165,431.668,411.245
LAnkle,421.469,472.306,416.329,472.308,416.283,472.304,0.0,0.0,421.262,472.303,421.286,472.304,406.24,472.288,416.292,472.288,421.346,472.282,416.288,472.287
REye,386.12,284.56,396.076,299.571,396.03,299.551,386.231,294.502,380.887,269.429,375.66,264.486,350.547,269.465,350.412,289.553,350.452,299.667,360.588,299.643
LEye,411.287,289.52,421.251,299.648,421.168,299.63,416.189,294.686,390.953,269.441,385.831,264.486,380.568,269.465,375.759,289.458,375.816,299.608,380.85,299.648
REar,380.779,289.526,381.028,299.572,381.03,299.558,380.819,294.628,365.6,274.454,350.406,269.373,340.39,274.506,340.299,294.58,340.319,299.747,345.482,299.633
LEar,421.303,294.458,426.299,299.775,421.572,299.776,421.38,299.493,401.222,279.437,391.001,269.418,385.724,279.341,380.922,289.652,381.051,299.662,386.044,299.734
LBigToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.449,472.325,421.571,472.318,411.253,472.329,421.576,472.325,421.486,472.314,416.337,472.299
LSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHeel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.405,472.325,421.382,472.325,0.0,0.0,0.0,0.0,421.359,472.309,416.364,472.312
RBigToe,0.0,0.0,0.0,0.0,304.898,472.316,299.713,472.336,299.778,472.337,299.569,472.335,299.815,472.326,289.641,472.351,0.0,0.0,289.63,472.324
RSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHeel,304.651,472.257,304.63,472.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.517,472.271,304.686,472.257
