,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,386.198,137.395,390.959,137.546,390.958,137.659,386.15,142.326,385.957,142.303,385.904,142.472,385.77,142.513,380.965,142.409,380.739,142.317,375.606,142.282
neck,386.199,182.989,386.233,183.056,386.239,183.156,386.216,183.168,386.18,183.055,386.125,182.917,385.976,182.819,385.743,178.198,381.034,182.862,380.924,182.84
RShoulder,360.547,182.99,360.636,183.065,360.613,183.145,360.505,183.165,360.488,183.055,360.493,182.932,355.421,182.868,345.61,182.837,345.399,182.954,345.328,182.922
RElbow,345.393,228.666,345.451,228.74,345.444,228.848,345.344,228.889,345.319,228.666,345.289,223.873,345.119,223.791,340.453,223.92,340.294,228.679,340.381,228.707
RWrist,345.585,259.231,345.566,259.354,345.569,264.191,350.562,259.237,350.434,259.0,350.396,258.99,345.5,254.157,345.515,258.958,345.339,258.948,345.289,259.326
LShoulder,426.382,183.004,426.404,183.094,426.419,183.236,426.422,183.229,426.372,183.142,426.299,182.929,421.591,178.24,421.33,178.131,421.221,178.218,416.305,178.2
LElbow,431.779,228.708,431.739,228.822,431.654,233.832,431.682,233.871,431.591,233.822,431.587,228.728,431.522,223.871,426.697,223.758,426.554,228.611,426.464,223.935
LWrist,426.755,264.19,426.648,264.27,426.693,264.222,426.416,264.375,426.273,264.493,426.275,264.413,421.526,264.223,421.626,264.201,421.589,264.334,421.501,264.376
MidHip,386.146,294.516,386.192,294.53,386.187,294.607,386.154,294.66,386.063,294.525,386.079,289.572,385.966,294.438,381.039,294.5,380.974,294.652,380.912,294.535
RHip,375.684,294.459,375.778,294.474,375.754,294.535,375.723,294.596,375.613,294.468,375.625,289.512,370.68,289.652,355.61,294.523,355.475,294.683,350.65,294.549
RKnee,345.494,375.654,345.55,375.64,345.476,370.801,345.507,375.573,345.319,375.669,345.316,375.593,345.187,375.61,345.195,375.673,345.185,380.614,345.222,375.719
RAnkle,340.333,472.201,340.446,472.191,340.22,472.179,340.359,472.188,340.173,472.196,340.078,472.202,335.238,472.205,340.144,472.196,340.337,472.195,340.44,472.172
LHip,421.143,294.674,421.166,294.68,421.179,299.436,421.137,299.472,416.369,294.667,416.409,294.463,416.269,294.54,406.239,294.538,406.15,294.682,401.155,294.539
LKnee,421.379,375.777,421.379,375.655,421.382,375.765,421.363,375.781,421.411,375.661,421.337,375.626,421.264,370.797,421.21,375.617,421.206,375.778,421.204,375.587
LAnkle,421.28,472.174,421.458,446.843,421.418,446.909,421.276,472.173,421.633,472.171,421.586,472.175,421.587,446.883,421.61,441.877,421.656,446.863,421.677,441.801
REye,385.849,132.336,385.928,137.151,385.925,137.243,385.821,137.326,381.081,137.307,381.032,137.483,380.905,137.55,380.67,137.449,375.728,137.354,365.632,137.315
LEye,396.073,132.363,401.041,137.203,401.046,137.315,396.02,137.35,391.047,137.319,390.957,137.493,386.162,137.548,385.913,137.457,385.698,137.349,380.75,137.32
REar,380.718,137.43,380.754,137.511,380.76,137.598,380.711,137.631,380.61,137.593,380.556,142.266,375.81,142.318,375.633,137.67,365.649,137.643,355.582,142.287
LEar,411.299,137.449,416.149,137.603,416.174,142.312,411.303,142.296,411.205,142.274,406.128,142.332,396.212,142.335,391.127,137.649,390.913,137.591,386.033,137.559
LBigToe,421.323,472.209,421.447,472.203,421.337,472.202,421.294,472.207,0.0,0.0,421.588,472.213,421.463,472.2,421.446,472.203,426.333,472.2,0.0,0.0
LSmallToe,426.613,472.218,426.75,472.209,426.656,472.211,426.624,472.217,0.0,0.0,431.647,472.226,431.556,472.214,431.513,472.214,431.683,472.212,0.0,0.0
LHeel,421.281,472.202,421.31,472.187,421.297,472.196,421.256,472.202,0.0,0.0,0.0,0.0,421.611,472.199,421.583,472.191,421.626,472.189,421.64,472.182
RBigToe,335.111,472.231,340.134,472.225,335.118,472.212,335.232,472.221,335.127,472.229,330.072,472.234,325.068,472.239,330.168,472.235,340.154,472.229,340.144,472.208
RSmallToe,330.105,472.23,335.106,472.228,325.108,472.205,330.128,472.217,325.125,472.228,319.997,472.226,314.913,472.224,324.981,472.23,335.063,472.238,330.172,472.21
RHeel,345.273,472.226,345.374,472.217,340.438,472.204,345.297,472.215,340.436,472.22,340.349,472.225,340.194,472.229,340.423,472.218,345.281,472.216,345.391,472.198
