,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,390.903,137.335,385.929,137.454,381.037,137.45,380.93,137.54,380.882,142.307,380.914,137.621,380.783,137.565,380.732,137.6,380.698,137.665,375.811,142.456
neck,390.968,178.168,386.202,178.127,386.032,178.053,385.953,178.173,385.859,178.171,385.789,178.2,385.677,178.11,381.079,178.105,381.017,178.125,380.842,182.918
RShoulder,360.607,178.189,360.523,178.203,355.417,178.179,350.609,182.844,350.543,182.833,350.441,178.252,345.589,178.194,345.545,178.198,345.454,178.195,345.248,182.981
RElbow,345.512,223.884,345.462,223.875,345.289,223.711,345.445,223.859,345.393,223.763,345.303,223.818,340.515,223.788,340.457,223.858,340.388,223.885,340.219,228.849
RWrist,345.628,264.064,345.552,264.07,350.441,258.926,350.418,259.274,345.477,259.187,345.504,259.238,345.313,259.083,340.484,264.006,340.33,264.15,335.206,269.344
LShoulder,426.473,178.203,426.377,178.125,426.243,178.007,421.575,178.114,421.459,178.118,421.354,178.167,421.264,178.052,421.232,178.028,421.197,178.045,416.287,182.918
LElbow,431.734,223.937,431.507,223.844,431.463,223.66,426.742,223.933,426.597,228.652,426.44,228.704,426.386,223.867,426.337,223.859,426.409,223.86,426.238,228.828
LWrist,426.674,264.128,426.54,264.174,426.321,259.223,421.673,269.265,421.678,269.395,421.43,274.345,421.406,269.239,421.432,269.216,421.459,264.355,421.625,289.504
MidHip,386.165,289.525,386.101,284.577,386.093,284.55,386.026,289.653,385.887,294.492,385.711,294.484,380.972,294.45,380.942,294.462,380.917,294.455,380.716,294.623
RHip,375.753,289.48,375.665,284.549,375.633,284.526,370.768,289.656,370.591,294.495,360.633,294.497,355.48,294.458,355.453,294.46,350.615,294.457,350.416,294.65
RKnee,345.559,375.647,345.359,370.623,345.263,370.76,345.213,375.627,345.298,375.602,345.283,370.769,345.289,375.667,345.191,375.734,340.529,375.849,340.434,375.661
RAnkle,340.339,472.19,340.12,472.182,340.006,472.188,340.065,441.73,340.454,451.917,340.34,451.918,340.503,472.177,340.352,472.187,340.25,472.188,340.138,472.186
LHip,421.159,294.445,416.45,289.531,416.458,289.478,416.37,294.5,416.172,294.572,411.165,294.534,406.15,294.462,401.228,294.472,401.222,294.458,396.02,294.598
LKnee,421.329,375.716,421.323,370.72,421.387,375.564,421.372,375.662,421.326,375.636,421.268,370.735,421.231,375.625,421.21,375.73,421.192,375.605,421.18,375.587
LAnkle,421.368,472.169,421.564,441.818,421.545,472.174,426.288,446.852,426.308,446.857,426.247,441.839,421.615,446.867,421.574,472.17,426.348,446.864,426.332,436.771
REye,385.881,132.297,381.035,132.428,380.693,132.421,380.557,137.14,375.845,137.35,380.545,137.229,375.732,137.181,375.662,137.219,375.626,137.289,370.572,137.509
LEye,396.131,132.265,390.94,132.398,385.948,132.39,385.859,132.446,385.803,137.309,385.851,137.198,385.725,137.139,381.105,137.168,381.079,137.239,380.868,137.46
REar,380.789,137.329,380.633,137.401,375.774,137.444,375.557,137.514,370.632,137.662,370.643,137.574,365.589,137.548,360.647,137.568,360.539,137.576,350.614,142.371
LEar,411.361,137.239,406.114,137.366,396.004,137.358,391.188,137.408,391.09,137.518,391.129,137.471,390.975,137.412,390.921,137.416,386.23,137.444,386.102,137.617
LBigToe,421.44,472.212,421.341,472.194,421.458,472.207,421.434,472.203,421.605,472.207,421.541,472.201,0.0,0.0,421.513,472.214,426.365,472.205,426.362,472.189
LSmallToe,426.731,472.217,426.67,472.208,431.49,472.227,431.516,472.216,431.657,472.217,431.606,472.215,0.0,0.0,431.565,472.223,431.717,472.218,431.682,472.2
LHeel,421.359,472.196,421.519,472.188,0.0,0.0,426.351,472.19,426.362,472.187,426.31,472.186,421.599,472.187,0.0,0.0,426.417,472.193,426.391,472.177
RBigToe,335.107,472.22,330.086,472.211,330.06,472.223,335.079,472.185,340.151,472.199,335.277,472.204,340.141,472.215,340.098,472.219,335.286,472.225,335.202,472.222
RSmallToe,330.064,472.218,320.037,472.2,319.998,472.215,325.024,472.18,335.083,472.202,330.115,472.201,335.077,472.217,330.154,472.224,330.133,472.227,330.032,472.225
RHeel,345.264,472.213,340.384,472.206,340.31,472.211,340.421,472.171,345.443,472.191,345.335,472.194,345.466,472.201,345.345,472.209,345.258,472.21,340.449,472.211
