,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,304.72,147.779,309.789,172.909,304.768,152.566,304.774,152.694,304.866,147.751,310.041,162.713,325.001,152.607,314.969,142.756,320.105,152.717,335.22,147.777
neck,299.727,183.212,299.711,188.224,299.769,182.901,299.939,178.169,304.568,178.015,304.842,182.879,309.786,183.07,309.763,177.949,315.037,178.077,335.095,178.23
RShoulder,264.417,188.085,269.292,188.334,264.405,183.013,269.222,178.23,264.476,178.041,274.367,182.865,284.58,182.965,279.48,177.885,289.651,178.032,299.672,178.109
RElbow,243.847,177.75,248.902,177.786,249.002,172.897,244.007,157.795,253.906,152.582,253.948,172.927,253.967,177.855,258.887,172.926,259.26,147.688,274.476,142.469
RWrist,264.075,132.165,269.189,132.198,269.242,127.241,264.313,122.107,269.473,112.009,274.478,127.294,279.45,127.341,274.464,127.185,289.531,107.174,294.564,102.202
LShoulder,325.118,183.133,325.013,188.194,330.14,182.848,335.28,178.123,340.06,178.031,340.372,182.988,345.197,183.204,345.211,178.089,350.357,178.213,355.593,182.864
LElbow,370.581,167.824,355.445,172.974,360.643,157.782,365.715,142.683,375.645,147.465,380.932,172.859,386.05,172.856,385.919,177.767,386.204,152.587,396.175,147.63
LWrist,340.388,112.074,340.171,132.187,340.214,112.211,340.332,107.061,345.292,106.954,345.46,127.311,355.589,127.189,365.558,137.239,360.664,107.033,375.573,102.129
MidHip,299.965,304.658,299.953,304.672,299.898,299.836,304.663,299.634,304.584,299.558,304.627,299.756,304.798,299.875,304.927,299.601,309.922,299.779,315.023,299.675
RHip,284.406,304.708,284.507,304.707,279.484,299.851,284.485,299.667,279.382,299.608,284.478,299.749,289.562,299.847,294.508,299.618,299.486,299.782,299.703,299.603
RKnee,299.444,390.975,294.647,386.157,294.617,390.919,289.581,385.888,284.412,385.91,284.539,386.16,289.656,386.164,289.565,386.032,299.45,391.101,299.438,385.936
RAnkle,299.647,472.222,299.451,472.214,299.473,472.219,299.55,472.225,299.551,472.221,299.436,472.21,299.534,472.21,299.503,472.231,299.636,472.227,299.544,472.228
LHip,325.055,304.644,320.058,304.666,320.036,299.872,330.197,299.662,330.165,299.58,330.128,299.821,335.121,304.562,335.249,299.676,340.216,299.826,340.496,299.743
LKnee,335.132,390.993,330.038,386.052,330.15,386.086,340.144,385.86,340.393,380.987,345.223,385.895,345.276,386.101,345.398,385.871,345.452,386.035,345.628,385.764
LAnkle,310.007,472.259,304.954,472.24,305.004,472.24,335.226,472.244,345.293,472.238,360.645,472.249,370.697,472.26,370.798,472.246,365.711,472.258,360.616,472.239
REye,299.625,142.675,304.753,162.843,299.686,142.523,299.692,142.695,299.774,142.529,304.882,147.533,310.071,142.685,309.803,137.631,309.919,142.715,325.055,142.634
LEye,304.786,142.608,305.025,157.802,304.998,142.632,309.757,142.741,309.904,142.58,325.123,147.531,335.057,142.693,330.059,142.316,335.176,142.695,340.321,142.644
REar,284.437,152.726,299.45,167.939,284.55,142.729,284.501,147.576,289.547,142.684,299.516,147.58,304.622,147.679,299.871,142.509,299.908,147.538,305.054,142.815
LEar,309.948,142.742,310.014,152.674,319.938,142.337,320.046,142.669,325.136,142.436,335.266,142.644,340.131,147.646,340.257,137.556,345.213,147.56,350.434,142.756
LBigToe,320.001,472.256,309.999,472.244,314.872,472.241,340.31,472.264,345.428,472.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSmallToe,335.104,472.26,325.138,472.234,330.101,472.232,345.525,472.25,365.72,472.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHeel,304.973,472.252,304.742,472.24,304.756,472.241,335.013,472.23,345.188,472.226,360.649,472.248,375.666,472.267,375.661,472.258,0.0,0.0,0.0,0.0
RBigToe,0.0,0.0,0.0,0.0,0.0,0.0,294.643,472.255,294.683,472.267,299.505,472.26,299.571,472.254,299.621,472.27,299.704,472.279,299.55,472.269
RSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,284.453,472.262,289.445,472.271,289.556,472.268,294.494,472.26,294.621,472.284,294.706,472.28,294.437,472.272
RHeel,299.54,472.233,0.0,0.0,0.0,0.0,299.614,472.23,299.744,472.227,299.719,472.216,299.792,472.223,299.794,472.238,299.804,472.241,299.777,472.238
