,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,487.329,56.4116,472.279,56.2709,477.19,56.3114,467.089,56.3046,466.982,56.368,462.234,56.3539,462.062,56.3825,456.861,56.4969,446.816,56.3811,431.705,56.2458
neck,482.286,96.9281,487.299,96.9708,472.331,96.7663,472.105,96.9087,467.248,96.8705,462.123,96.9853,461.822,97.0138,461.685,101.736,456.895,96.999,456.708,96.9757
RShoulder,451.895,96.8696,456.885,96.9519,446.847,96.7042,436.75,96.9289,436.743,96.8988,426.436,96.9882,421.456,96.9794,421.374,101.858,421.325,101.775,421.254,101.809
RElbow,411.311,122.172,426.548,137.223,421.482,137.176,401.078,122.288,396.009,122.27,380.77,122.258,370.801,122.159,380.952,137.257,381.093,137.16,380.929,132.302
RWrist,416.31,66.614,431.474,96.809,446.732,91.7173,456.764,96.7372,416.258,102.205,355.592,97.0251,345.568,91.6565,350.346,97.0185,355.508,96.7383,360.505,91.8043
LShoulder,517.782,96.9259,517.801,96.8425,507.834,96.738,507.682,96.7877,507.469,96.7451,502.371,96.7468,497.404,96.7883,492.43,96.8832,487.353,96.7149,477.337,96.6391
LElbow,563.478,86.7261,578.584,76.6545,553.293,76.6232,548.32,66.3702,548.001,61.4772,542.955,61.287,537.968,61.3547,527.85,61.4379,517.894,61.2343,507.696,56.3578
LWrist,578.736,56.2889,573.569,51.176,548.483,50.9774,543.013,46.1308,538.139,50.9611,527.991,46.0063,517.861,50.9761,502.546,46.1086,497.427,46.0747,477.133,46.0365
MidHip,472.122,218.633,467.313,218.598,467.178,218.65,467.101,218.748,466.947,223.438,462.156,223.416,461.849,218.785,461.71,223.521,456.869,218.744,451.755,223.454
RHip,456.94,218.579,456.784,218.496,451.884,218.565,446.772,218.706,441.651,218.783,431.739,218.776,426.717,218.741,426.554,223.536,426.365,223.434,421.544,223.539
RKnee,461.724,310.039,446.808,315.009,436.746,319.971,431.686,319.928,431.706,320.087,431.784,319.966,431.573,319.937,426.77,319.935,426.644,314.955,426.543,325.087
RAnkle,451.776,411.215,436.566,411.205,431.503,411.212,436.576,401.188,436.727,401.164,431.745,396.114,436.693,406.143,431.789,401.121,441.778,401.068,446.721,406.298
LHip,502.471,218.771,502.375,218.764,497.573,218.806,497.562,223.494,497.411,223.565,492.373,223.49,477.323,223.457,477.148,223.565,472.222,218.706,467.248,223.438
LKnee,487.392,314.916,487.328,320.096,482.26,325.142,477.215,330.004,472.36,330.167,477.151,330.076,472.207,325.148,467.381,324.975,467.367,314.853,467.117,330.014
LAnkle,472.171,381.003,502.478,401.184,497.443,411.344,497.571,401.168,502.357,411.23,492.485,411.255,492.445,416.379,472.319,406.307,482.32,406.224,492.316,416.286
REye,472.106,56.077,467.141,55.9624,467.195,55.9323,462.088,55.9482,462.031,55.9859,461.838,55.9439,456.964,55.9796,441.729,56.1592,431.675,56.0957,426.573,51.2929
LEye,497.444,55.9722,487.333,51.1827,487.448,51.253,472.141,51.1912,472.059,51.2439,467.248,51.2466,467.057,51.2832,461.97,56.0341,456.959,51.2785,451.724,51.0135
REar,462.193,56.3597,462.092,56.4087,461.983,56.2333,456.88,56.3624,456.85,56.258,446.784,56.2668,436.578,56.3151,426.689,56.5503,426.518,56.4934,421.547,56.3345
LEar,507.409,56.3399,502.715,56.2859,502.543,56.1613,497.4,56.2032,492.495,56.2206,487.333,56.3351,477.229,56.3717,472.053,56.4156,467.105,56.2727,466.904,56.1511
LBigToe,507.57,406.226,507.819,421.284,502.507,421.535,497.543,421.383,492.318,421.576,492.462,421.536,482.284,426.268,467.05,421.403,467.159,421.357,467.025,421.48
LSmallToe,507.783,390.951,517.852,416.221,507.71,421.388,507.605,421.261,502.613,421.592,502.685,421.47,497.56,426.418,477.258,421.556,482.318,421.524,477.186,426.313
LHeel,467.142,385.772,497.49,411.181,487.396,416.356,497.45,411.209,502.422,416.303,492.382,416.347,492.411,421.339,472.203,411.344,487.291,416.167,492.477,421.138
RBigToe,462.196,421.537,451.816,426.247,436.74,426.226,431.549,421.53,426.494,421.538,431.715,421.43,426.621,421.526,426.435,421.405,426.545,421.387,421.546,421.482
RSmallToe,446.698,421.55,426.653,421.504,426.362,421.454,421.55,421.237,421.329,421.154,421.585,421.16,421.444,421.197,421.394,416.423,421.522,416.404,421.353,421.164
RHeel,451.718,416.39,446.7,416.43,436.649,416.397,451.783,416.191,456.771,416.239,446.714,411.241,451.88,416.332,446.851,416.204,456.94,416.215,461.727,421.13
