,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,340.323,137.67,340.411,142.505,345.115,142.533,345.127,142.395,340.544,137.664,340.484,137.587,340.447,137.58,340.347,142.351,340.297,142.426,340.13,142.421
neck,340.035,183.062,340.116,183.168,340.176,183.19,340.208,183.131,340.209,182.957,340.171,182.826,340.141,178.241,340.048,182.977,335.26,183.179,335.048,183.106
RShoulder,299.877,183.004,304.541,183.022,304.691,183.104,304.708,183.042,304.698,182.925,304.684,178.212,304.632,178.205,299.971,182.92,299.757,183.012,299.659,183.003
RElbow,294.572,228.805,299.402,228.649,299.541,228.831,299.524,228.701,299.44,228.707,299.434,228.818,294.659,228.645,294.556,223.903,279.527,228.809,274.345,228.88
RWrist,289.51,274.401,289.627,274.422,289.637,279.345,294.432,269.507,289.62,274.416,284.49,279.499,279.485,274.423,269.517,269.391,269.36,274.404,269.243,274.43
LShoulder,370.615,183.158,370.723,183.324,370.678,183.359,370.755,183.312,375.596,183.14,370.767,182.986,370.754,182.95,370.588,183.177,365.642,183.327,360.499,183.238
LElbow,380.671,238.775,380.884,238.863,380.848,233.85,380.828,233.87,380.879,233.87,380.784,238.787,380.903,233.818,380.698,238.758,380.641,243.877,375.759,238.765
LWrist,380.853,294.451,381.013,289.593,381.089,284.465,381.006,284.475,385.709,294.497,381.032,294.546,385.842,289.646,381.06,284.555,380.936,294.439,380.688,284.487
MidHip,330.214,299.425,335.085,294.724,335.189,294.577,335.21,294.46,335.171,294.61,335.001,294.615,330.21,294.641,330.057,294.508,325.044,294.74,315.06,294.641
RHip,304.725,294.582,304.835,294.564,305.029,294.48,305.06,289.589,304.941,294.488,304.786,294.457,304.706,294.477,304.627,289.555,299.968,294.56,299.817,294.534
RKnee,294.709,380.63,299.51,380.659,299.609,375.652,299.624,370.789,299.47,380.613,299.426,380.594,299.395,380.695,294.661,375.706,294.665,375.699,294.526,380.678
RAnkle,274.479,472.188,289.509,472.165,289.584,441.78,289.624,472.158,294.463,451.908,289.612,446.847,294.527,451.919,289.55,436.693,289.455,472.18,274.448,472.187
LHip,345.433,299.502,345.51,299.474,345.528,294.639,345.555,294.552,345.575,294.695,345.454,294.698,345.472,299.414,345.347,294.633,345.177,299.476,340.429,294.684
LKnee,340.504,380.994,340.511,380.968,340.461,380.715,340.473,380.694,340.436,380.883,340.259,380.897,340.274,380.931,340.307,380.672,340.271,380.644,340.222,380.749
LAnkle,340.056,472.216,340.02,472.216,335.226,472.202,335.299,472.207,340.02,472.217,335.188,472.204,335.102,472.207,335.254,472.19,335.258,472.194,340.009,472.187
REye,339.997,137.286,340.09,137.527,340.246,137.562,340.273,137.428,340.24,137.273,340.182,137.21,340.121,137.204,340.022,137.404,335.266,137.472,335.058,137.468
LEye,345.259,137.305,345.349,137.588,345.465,137.62,345.493,137.483,345.449,137.303,345.357,137.213,345.332,137.193,345.255,137.42,345.218,137.493,340.482,137.476
REar,319.938,137.686,320.066,142.427,325.107,142.488,325.142,142.366,325.151,137.659,325.128,137.577,324.988,137.586,320.045,142.288,314.93,142.403,309.987,142.385
LEar,345.612,142.314,350.396,142.603,350.506,142.655,350.504,142.548,350.374,142.361,345.682,137.675,345.647,137.658,345.597,142.351,345.605,142.602,345.441,142.52
LBigToe,340.156,472.243,340.108,472.242,335.219,472.24,335.224,472.239,340.151,472.25,0.0,0.0,335.251,472.234,335.223,472.232,335.252,472.227,340.197,472.225
LSmallToe,345.468,472.241,345.405,472.24,345.27,472.235,345.302,472.239,345.453,472.244,0.0,0.0,345.242,472.231,345.231,472.229,345.317,472.229,345.441,472.215
LHeel,0.0,0.0,0.0,0.0,335.114,472.193,335.227,472.199,0.0,0.0,335.123,472.188,335.026,472.196,335.244,472.175,335.148,472.186,0.0,0.0
RBigToe,269.292,472.232,0.0,0.0,274.339,472.206,0.0,0.0,279.36,472.222,274.43,472.217,279.462,472.211,274.328,472.195,274.3,472.219,269.228,472.235
RSmallToe,259.279,472.209,0.0,0.0,264.225,472.176,0.0,0.0,264.362,472.2,264.332,472.19,269.251,472.185,264.259,472.164,264.214,472.194,259.285,472.211
RHeel,284.482,472.209,0.0,0.0,294.476,472.177,0.0,0.0,294.614,472.177,294.552,472.174,294.637,472.176,294.548,441.759,289.625,472.203,284.44,472.202
