,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,269.394,137.627,264.386,137.638,264.03,137.447,259.258,137.154,259.215,137.136,259.077,137.291,259.144,137.322,259.114,132.399,258.847,127.184,254.134,117.244
neck,274.389,182.849,269.285,182.854,264.402,178.117,264.089,177.911,264.029,177.961,264.007,177.991,259.33,177.894,259.163,177.682,259.025,172.865,258.832,172.838
RShoulder,253.859,183.156,244.009,183.185,233.805,183.063,223.917,182.868,223.859,182.926,223.81,182.964,223.725,178.229,223.535,177.937,218.781,177.762,218.569,177.716
RElbow,233.733,233.925,228.74,238.804,223.714,233.756,223.481,228.857,223.455,233.763,218.781,233.81,218.712,223.901,218.563,223.687,218.274,223.514,213.272,223.558
RWrist,223.902,274.461,223.765,284.502,223.555,279.377,223.47,274.458,218.808,289.563,218.788,294.618,218.579,269.397,218.621,284.398,218.389,274.452,213.301,274.347
LShoulder,305.008,177.942,304.698,177.863,304.592,177.692,299.713,172.839,299.608,172.899,299.583,172.951,299.471,172.935,294.641,172.837,294.609,167.854,289.572,167.873
LElbow,339.985,223.64,335.125,218.798,330.213,218.647,320.053,218.525,315.062,218.541,309.888,218.801,309.878,218.733,305.052,218.766,304.996,218.488,304.882,218.305
LWrist,340.272,269.221,340.171,264.461,340.064,264.453,340.034,264.335,335.26,264.183,325.131,264.498,330.063,264.337,315.057,269.408,309.821,269.338,304.781,264.43
MidHip,294.569,289.561,289.492,294.479,279.502,294.452,274.4,289.45,269.401,289.504,264.525,289.46,264.412,279.425,264.185,279.376,259.336,274.348,259.062,279.462
RHip,264.237,294.488,264.095,294.654,259.343,294.648,259.188,294.47,259.017,294.51,254.082,294.447,253.946,284.439,243.998,284.403,233.874,274.399,228.741,279.483
RKnee,264.192,385.708,264.321,385.708,264.406,380.71,264.442,375.84,264.247,380.581,263.98,380.735,259.079,370.772,258.992,375.807,254.062,370.762,248.906,380.593
RAnkle,284.414,472.246,284.443,472.226,284.464,472.209,294.5,472.186,289.553,472.19,279.521,472.212,269.449,472.177,274.266,472.185,263.987,441.753,259.271,472.174
LHip,309.764,284.566,304.837,289.518,304.649,289.491,299.896,279.504,299.73,284.436,299.546,279.532,299.457,274.406,294.579,274.352,284.525,274.277,274.394,279.465
LKnee,335.076,380.656,330.159,375.86,314.918,375.702,304.936,370.729,304.739,370.757,299.594,375.779,299.515,370.614,294.711,365.707,269.322,370.705,264.136,375.847
LAnkle,340.363,472.203,340.399,451.94,335.249,472.185,320.021,472.179,314.889,472.168,304.724,472.209,299.786,446.866,299.453,472.175,264.125,472.168,253.983,472.179
REye,264.216,137.344,263.963,137.349,259.073,137.134,258.876,132.171,258.836,132.134,254.002,132.289,254.092,132.317,254.058,127.191,248.89,112.159,243.929,107.158
LEye,274.477,137.194,269.331,137.177,264.331,132.287,264.102,127.212,264.078,127.21,259.391,132.153,264.005,132.18,264.004,122.257,259.211,112.125,259.154,107.126
REar,258.994,142.4,254.089,142.404,248.98,137.664,243.855,137.418,238.882,137.409,233.896,137.511,233.891,137.475,233.788,137.136,228.65,127.358,223.881,122.307
LEar,294.462,137.529,284.412,137.508,274.381,137.316,269.221,137.19,269.211,137.195,264.517,137.233,264.465,137.3,264.471,132.37,264.32,122.294,264.239,122.109
LBigToe,340.439,472.246,345.215,472.212,335.221,472.227,319.957,472.221,315.026,472.214,304.858,472.252,299.853,472.235,0.0,0.0,0.0,0.0,243.873,472.229
LSmallToe,350.474,472.222,350.575,472.205,345.302,472.235,340.143,472.222,335.234,472.206,315.043,472.242,309.805,472.218,0.0,0.0,0.0,0.0,254.087,472.23
LHeel,340.321,472.203,340.299,472.18,335.218,472.206,319.981,472.189,0.0,0.0,304.695,472.223,299.686,472.174,0.0,0.0,0.0,0.0,0.0,0.0
RBigToe,0.0,0.0,0.0,0.0,269.446,472.245,269.421,472.228,269.358,472.231,264.301,472.233,259.286,472.21,269.362,472.206,259.247,472.184,259.271,472.216
RSmallToe,0.0,0.0,0.0,0.0,264.303,472.241,269.211,472.219,264.372,472.222,264.115,472.248,259.037,472.211,264.247,472.216,258.96,472.177,259.129,472.208
RHeel,289.57,472.233,289.568,472.227,289.512,472.224,294.571,472.207,289.606,472.212,284.416,472.233,274.304,472.208,0.0,0.0,0.0,0.0,259.246,472.206
