,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,345.264,137.338,345.481,137.446,345.433,137.454,345.501,142.518,345.508,142.299,345.402,137.464,345.398,137.381,345.305,137.549,345.129,137.592,340.072,142.556
neck,350.492,178.024,355.467,178.067,350.631,178.093,350.529,183.022,350.502,183.004,350.371,178.226,345.59,182.834,345.365,178.233,345.225,182.957,340.252,183.233
RShoulder,330.212,178.038,335.115,178.038,335.044,177.985,334.989,178.239,330.153,178.242,325.139,178.144,319.959,178.221,314.84,178.227,309.818,182.912,304.63,183.049
RElbow,305.068,223.827,305.101,223.803,309.766,223.824,305.081,223.922,304.925,223.86,304.868,223.815,304.575,228.706,299.88,228.769,299.631,228.86,299.431,228.895
RWrist,299.454,269.375,299.591,269.344,299.561,269.293,299.543,269.443,299.467,269.358,299.403,269.447,294.416,269.479,279.455,274.441,274.391,284.492,269.473,274.48
LShoulder,385.749,178.137,385.943,178.186,385.922,182.869,385.835,183.303,385.857,183.289,385.777,182.963,385.746,182.995,380.937,182.929,380.844,183.173,375.63,188.15
LElbow,390.91,233.8,386.202,233.82,386.13,238.881,386.225,248.913,390.955,249.082,386.2,238.824,386.095,233.737,386.031,228.823,385.999,233.887,385.694,243.929
LWrist,385.703,294.718,385.709,294.741,381.092,299.472,385.679,299.539,385.826,299.622,386.197,294.635,386.036,289.633,386.16,284.464,390.963,289.585,385.921,289.651
MidHip,340.286,289.665,340.358,289.572,340.291,289.65,340.29,294.55,340.246,294.66,340.214,294.61,340.158,294.486,340.101,294.503,335.254,294.745,335.097,299.523
RHip,314.954,289.539,315.047,284.58,315.046,289.46,315.046,294.419,314.975,294.498,310.047,294.474,309.907,289.6,309.854,289.626,304.968,294.6,304.812,294.702
RKnee,304.608,375.68,299.944,375.581,299.868,370.755,299.761,370.74,299.74,370.717,299.727,375.783,299.663,375.82,299.624,380.581,294.726,375.831,294.45,380.617
RAnkle,299.466,472.179,294.63,472.155,294.566,472.156,294.588,446.884,294.508,446.836,294.516,472.179,289.571,472.188,279.421,472.186,279.399,472.184,269.429,472.186
LHip,355.461,294.584,355.58,294.536,355.432,294.602,355.483,294.707,350.606,299.479,355.424,299.428,355.423,294.606,350.578,294.62,350.379,299.506,345.615,299.617
LKnee,345.656,380.705,345.61,380.578,345.469,375.799,345.493,375.813,345.521,380.698,345.557,380.835,350.469,380.772,350.402,380.799,345.633,380.93,345.651,381.035
LAnkle,345.477,472.209,345.438,472.185,345.428,472.174,345.534,472.183,345.396,472.189,345.555,472.206,350.552,472.188,350.481,472.203,345.364,472.221,345.625,472.2
REye,340.46,132.257,345.258,132.399,345.202,132.399,345.256,137.512,345.269,137.295,345.166,132.394,345.13,132.291,340.474,137.12,340.305,137.156,335.159,137.551
LEye,350.369,132.314,350.633,132.419,350.581,132.435,350.637,137.612,355.414,137.388,350.509,132.43,350.493,132.31,350.39,137.208,345.544,137.253,340.511,137.643
REar,340.303,137.403,340.345,137.539,340.328,137.557,340.327,142.453,340.302,142.296,340.209,137.525,340.106,137.423,340.023,137.458,335.241,137.524,325.065,142.486
LEar,370.633,137.437,375.764,137.488,375.718,137.516,375.752,142.537,375.701,142.393,370.772,137.558,370.616,137.449,365.556,137.565,360.507,137.658,350.405,142.61
LBigToe,345.244,472.239,345.239,472.225,345.345,472.206,345.348,472.211,345.245,472.216,345.398,472.242,345.6,472.241,345.583,472.241,345.427,472.258,345.548,472.232
LSmallToe,355.558,472.243,355.488,472.23,360.489,472.219,360.554,472.228,355.478,472.23,365.585,472.243,370.753,472.231,370.737,472.243,365.711,472.252,370.697,472.236
LHeel,345.448,472.21,345.403,472.184,345.483,472.167,0.0,0.0,345.442,472.186,0.0,0.0,350.547,472.182,350.49,472.206,345.312,472.222,0.0,0.0
RBigToe,284.502,472.215,0.0,0.0,0.0,0.0,284.463,472.201,279.488,472.197,279.38,472.222,274.35,472.234,269.353,472.232,269.315,472.231,264.414,472.229
RSmallToe,274.307,472.196,0.0,0.0,0.0,0.0,269.342,472.181,269.304,472.173,269.261,472.197,264.344,472.207,264.173,472.207,264.101,472.208,259.196,472.217
RHeel,299.672,472.209,0.0,0.0,0.0,0.0,299.572,472.193,299.504,472.19,299.465,472.206,294.611,472.21,289.516,472.21,289.466,472.206,279.507,472.204
