,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,385.847,122.134,380.71,117.079,380.554,106.914,365.535,101.942,355.423,101.738,345.574,101.858,340.238,101.998,335.239,102.125,335.005,101.964,320.024,97.0682
neck,385.795,177.775,380.695,172.912,375.809,157.727,355.539,147.791,350.441,147.781,345.542,152.641,340.287,157.755,335.288,152.686,335.028,147.678,320.087,147.627
RShoulder,345.524,173.027,340.248,172.893,340.061,157.809,320.088,147.79,314.92,147.756,305.074,152.757,299.881,162.782,299.476,152.731,294.607,147.7,284.5,147.615
RElbow,330.052,223.679,309.772,228.636,305.054,218.751,304.575,218.616,299.93,218.677,299.697,223.616,289.482,218.624,264.455,213.587,264.203,213.503,264.24,213.468
RWrist,375.617,253.878,355.591,228.834,350.526,218.6,340.05,213.296,335.255,203.41,335.08,208.389,309.995,249.048,299.73,233.773,299.661,218.576,289.588,218.542
LShoulder,421.405,177.935,421.152,172.94,411.194,157.656,391.142,152.552,386.117,152.61,385.926,152.654,380.706,162.694,375.622,152.68,370.582,147.666,360.538,147.572
LElbow,426.637,223.678,426.364,223.43,426.489,213.418,411.368,213.478,406.285,218.301,411.239,218.309,396.177,218.344,386.117,213.492,386.071,213.508,385.844,213.362
LWrist,426.43,258.924,421.206,233.788,431.639,193.306,391.073,223.563,416.224,223.53,421.518,183.172,426.58,178.03,426.287,182.835,421.623,178.179,421.29,177.976
MidHip,386.184,294.45,385.831,284.453,380.902,274.288,365.651,269.443,350.557,274.308,345.511,274.343,340.169,274.474,335.25,274.48,335.016,269.36,325.032,269.461
RHip,370.708,294.488,355.522,284.559,345.556,274.371,340.342,274.327,339.965,274.421,325.145,274.422,304.99,279.351,304.761,279.358,304.686,269.35,299.836,269.464
RKnee,350.362,391.045,345.553,385.794,340.397,380.599,340.133,380.642,335.313,380.877,330.066,381.026,314.841,381.028,309.822,375.874,309.884,370.607,304.841,380.583
RAnkle,340.257,472.278,340.232,472.249,330.124,472.216,340.269,472.189,340.491,472.207,340.373,472.229,340.198,472.236,340.134,472.219,335.073,472.194,320.028,472.2
LHip,421.349,294.438,416.411,279.43,411.229,269.412,386.083,269.257,381.0,269.416,380.687,269.484,360.562,274.365,350.509,274.359,345.573,269.315,345.32,269.42
LKnee,467.209,360.625,461.996,355.622,436.699,360.649,421.278,360.482,406.191,365.679,391.135,370.699,381.052,370.711,375.632,365.7,345.532,370.653,340.369,380.609
LAnkle,431.619,472.256,431.732,472.249,431.52,472.23,426.63,441.812,426.512,441.755,421.532,472.198,416.396,472.197,380.891,472.189,350.443,472.198,340.267,472.221
REye,380.843,107.092,375.612,106.908,370.644,101.814,350.489,96.8985,345.523,96.7195,345.158,96.8468,335.096,96.96,325.115,97.0949,319.954,96.9399,309.838,96.6147
LEye,390.918,107.082,385.751,107.009,381.022,101.832,375.766,96.9301,370.625,96.7724,355.536,96.851,345.3,97.0081,340.361,101.688,340.177,96.9622,335.161,96.6376
REar,370.733,122.167,350.646,112.203,350.334,102.245,345.104,101.753,340.288,97.1017,335.283,101.801,314.922,102.012,305.105,102.041,304.938,101.836,299.972,96.9656
LEar,406.186,122.13,390.965,112.167,386.097,106.961,381.025,101.949,380.685,101.852,375.636,101.837,355.481,102.025,345.561,102.057,345.337,101.916,340.485,97.0219
LBigToe,436.635,472.289,436.764,472.286,431.762,472.256,431.64,472.174,426.688,472.185,421.567,472.224,0.0,0.0,385.796,472.227,350.633,472.217,340.299,472.271
LSmallToe,461.919,472.284,0.0,0.0,461.928,472.254,451.887,472.195,441.78,472.199,436.622,472.245,0.0,0.0,396.101,472.227,375.852,472.214,345.51,472.265
LHeel,426.518,472.273,426.578,472.261,426.614,472.256,426.567,472.193,0.0,0.0,421.59,472.229,416.437,472.233,380.813,472.201,350.356,472.216,340.211,472.224
RBigToe,340.102,472.318,0.0,0.0,0.0,0.0,340.292,472.22,345.453,472.237,340.44,472.26,340.169,472.269,0.0,0.0,0.0,0.0,309.876,472.223
RSmallToe,340.156,472.336,0.0,0.0,0.0,0.0,335.229,472.232,340.233,472.256,340.138,472.285,335.14,472.288,0.0,0.0,0.0,0.0,304.789,472.221
RHeel,340.318,472.289,340.329,472.26,335.174,472.233,345.254,472.208,345.489,472.221,345.37,472.241,345.192,472.239,340.294,472.223,335.069,472.218,0.0,0.0
