,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,309.856,96.9818,305.045,101.851,304.837,101.762,304.804,97.0072,304.582,96.9373,299.865,96.6988,299.634,96.7682,299.436,96.729,294.694,96.715,289.634,91.8252
neck,314.846,147.653,309.956,147.784,305.041,147.718,304.79,142.809,299.89,142.77,299.633,142.507,299.478,142.459,294.627,142.468,294.492,142.553,284.505,142.357
RShoulder,279.359,147.66,274.415,152.569,269.32,147.791,264.517,142.709,264.155,142.528,259.295,137.565,259.121,137.543,258.878,137.633,254.139,142.294,248.988,137.607
RElbow,259.27,218.507,259.372,218.324,259.259,208.47,259.18,198.374,254.067,188.32,233.899,183.243,228.741,188.126,223.795,183.37,223.81,188.15,223.698,193.165
RWrist,269.355,213.571,264.44,233.829,264.374,258.848,259.36,248.926,264.095,223.757,223.843,218.572,228.781,228.757,223.53,223.573,218.728,223.682,218.637,223.508
LShoulder,350.625,147.608,350.413,147.684,345.559,147.672,345.191,147.607,340.248,147.68,339.992,147.487,335.135,142.75,330.226,142.717,330.074,142.788,319.974,142.637
LElbow,385.736,213.552,380.828,218.315,375.699,213.6,360.627,218.28,345.627,218.28,340.353,218.346,340.098,218.296,340.097,218.445,340.168,218.377,340.138,213.561
LWrist,421.126,178.133,411.254,178.237,396.001,182.952,386.201,182.898,385.825,182.968,380.63,183.069,355.556,198.211,365.691,183.186,365.638,183.082,370.714,178.041
MidHip,309.973,269.483,305.006,274.287,299.915,274.322,299.549,269.466,289.587,269.261,274.291,264.308,269.349,264.304,264.374,264.379,264.045,264.491,264.033,264.42
RHip,299.449,269.445,294.439,269.426,274.426,269.442,269.266,269.315,264.193,264.435,259.055,264.14,258.87,264.157,249.053,264.178,238.769,264.296,238.765,264.242
RKnee,304.562,375.809,299.891,375.577,299.768,365.615,299.495,370.629,289.557,365.589,264.09,370.58,259.327,370.71,243.817,375.699,228.698,375.787,223.444,365.723
RAnkle,325.16,472.173,330.088,472.176,325.033,472.179,314.93,472.192,305.057,446.855,284.535,436.748,284.429,446.861,269.233,472.179,263.986,472.212,243.947,472.181
LHip,340.348,274.313,340.066,274.384,325.146,274.447,310.01,274.46,304.799,269.443,299.723,264.475,299.628,264.438,294.743,269.19,289.648,269.379,294.428,269.298
LKnee,310.043,375.671,304.881,375.669,299.846,370.795,299.668,375.863,299.622,375.63,284.41,370.575,279.341,370.613,264.477,375.692,264.332,380.6,264.382,375.814
LAnkle,299.435,472.206,284.553,472.204,269.273,472.232,269.417,472.255,274.336,472.23,279.431,472.184,274.326,472.195,269.28,472.226,264.431,472.24,269.285,472.227
REye,304.776,91.8856,304.637,96.8013,299.854,96.7308,299.851,91.8833,299.648,91.789,299.487,86.7169,294.591,86.8038,289.581,86.745,289.456,86.7598,279.431,81.561
LEye,324.996,96.5919,315.038,96.8388,309.984,96.7369,309.987,96.5989,305.075,91.8488,304.916,86.8056,304.675,91.6091,299.93,86.8043,299.838,91.5797,299.631,81.7214
REar,299.688,96.9841,299.454,101.794,294.562,101.737,294.56,96.9237,289.54,96.795,279.425,91.8591,274.313,96.5577,269.246,96.547,264.516,96.6006,264.39,91.5711
LEar,340.088,97.0382,335.206,101.809,330.207,97.0791,330.137,97.0137,324.991,96.9552,315.06,96.7392,310.021,96.7035,309.807,96.6393,305.067,96.6949,304.78,91.7776
LBigToe,284.424,472.246,269.232,472.245,259.042,472.256,259.114,472.28,259.192,472.26,264.359,472.212,264.227,472.219,264.097,472.26,264.403,472.285,264.395,472.264
LSmallToe,284.573,472.254,279.39,472.262,264.269,472.276,264.321,472.29,269.256,472.277,289.544,472.245,279.416,472.246,269.417,472.263,269.437,472.286,284.504,472.269
LHeel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.343,472.227,269.244,472.254,264.23,472.247,269.313,472.236
RBigToe,325.122,472.228,330.092,472.228,319.965,472.222,0.0,0.0,309.889,472.22,279.429,472.178,279.421,472.198,264.166,472.223,259.015,472.238,223.716,472.223
RSmallToe,0.0,0.0,330.208,472.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.035,472.236,223.483,472.219
RHeel,335.178,472.205,335.263,472.208,335.195,472.208,330.15,472.221,320.042,472.205,294.616,472.178,289.626,472.199,274.342,472.206,264.233,472.206,249.019,472.206
