,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,340.051,142.684,330.198,142.714,320.054,147.499,310.066,152.597,299.914,147.499,299.747,147.778,299.854,147.737,304.578,147.649,304.899,142.706,309.893,142.607
neck,340.017,182.895,335.163,178.208,320.024,178.152,309.882,182.826,304.749,178.238,304.712,178.172,304.748,178.168,304.798,182.898,305.01,182.887,304.969,178.16
RShoulder,299.743,182.861,299.457,178.213,279.474,178.225,269.362,182.877,264.247,183.016,264.211,182.94,264.222,182.974,264.311,183.105,264.529,183.086,269.21,182.851
RElbow,259.139,183.33,248.996,182.995,223.841,183.379,243.918,188.065,223.939,198.316,228.655,198.287,223.876,198.347,228.623,188.352,228.645,188.103,223.565,183.056
RWrist,253.917,178.003,188.168,167.892,177.963,172.832,259.095,183.056,223.731,183.028,218.683,182.991,218.638,182.995,223.724,182.968,223.497,177.995,198.341,177.837
LShoulder,375.661,178.047,370.669,177.992,360.516,177.959,350.394,178.042,345.246,177.925,345.178,177.909,345.219,177.875,345.28,178.003,345.517,177.96,345.45,177.932
LElbow,426.328,177.719,421.651,172.786,421.473,172.949,421.208,172.802,396.072,162.708,396.09,167.723,401.144,167.842,406.217,162.834,416.198,147.719,411.258,152.597
LWrist,477.228,137.628,472.284,137.14,472.184,137.268,467.322,137.447,456.992,127.317,461.735,132.276,461.942,137.247,466.892,132.333,467.102,127.254,466.898,127.326
MidHip,334.996,304.638,330.131,304.651,319.931,304.663,309.954,304.698,309.837,304.816,309.837,304.799,309.83,304.854,309.877,304.895,309.891,304.909,309.951,304.803
RHip,299.935,304.648,299.842,304.692,299.477,304.703,294.639,304.726,294.527,304.889,294.536,304.844,294.517,304.915,294.537,304.942,294.535,304.947,294.626,304.837
RKnee,299.725,396.072,299.716,396.085,299.57,406.183,299.555,401.193,299.443,416.217,299.442,411.223,299.466,411.288,299.498,411.311,299.567,411.202,299.584,411.257
RAnkle,299.828,472.244,299.952,472.239,299.917,472.241,299.889,472.224,299.83,472.246,299.784,472.226,299.806,472.237,299.746,472.231,299.788,472.244,299.873,472.245
LHip,350.335,304.683,345.618,304.664,345.344,304.665,340.421,304.699,340.344,304.753,340.342,304.763,340.334,304.801,340.394,304.854,340.405,304.881,340.428,304.784
LKnee,360.646,390.912,360.54,390.961,350.501,391.195,350.357,396.058,350.611,401.159,350.355,406.202,350.362,406.224,350.417,411.372,350.444,416.206,350.406,411.299
LAnkle,380.833,472.267,380.758,472.266,380.806,472.28,380.622,472.279,380.976,472.281,380.559,472.285,380.676,472.288,380.69,472.29,380.622,472.29,380.59,472.289
REye,330.093,142.361,319.913,142.353,309.858,142.465,304.933,142.734,299.423,142.511,294.633,142.759,294.742,142.726,299.559,142.665,299.867,142.377,304.739,142.263
LEye,340.391,142.27,335.317,142.313,330.202,142.362,325.06,142.668,304.815,142.406,304.665,142.653,304.747,142.595,304.93,142.528,309.93,142.267,315.045,137.616
REar,309.769,142.645,304.889,142.565,299.831,142.609,299.58,142.752,279.482,142.789,279.34,147.571,274.486,147.601,284.447,147.555,289.615,142.716,294.595,142.564
LEar,345.55,142.478,345.167,142.525,340.256,142.524,335.264,142.74,314.933,142.495,310.007,142.575,310.041,142.551,319.901,142.607,330.011,142.512,330.162,142.381
LBigToe,380.804,472.283,380.834,472.285,380.826,472.295,380.694,472.293,381.022,472.309,380.686,472.318,380.782,472.313,380.809,472.321,380.735,472.329,380.745,472.32
LSmallToe,386.118,472.29,386.052,472.29,386.111,472.299,385.985,472.3,391.056,472.309,385.884,472.319,385.999,472.314,385.931,472.323,385.841,472.33,385.855,472.321
LHeel,380.861,472.275,380.805,472.276,380.879,472.287,380.73,472.285,380.984,472.285,380.656,472.286,380.768,472.288,380.792,472.294,380.709,472.296,380.685,472.294
RBigToe,299.829,472.295,299.917,472.283,0.0,0.0,299.863,472.283,0.0,0.0,299.817,472.3,299.854,472.307,299.838,472.303,299.801,472.309,0.0,0.0
RSmallToe,299.529,472.306,299.542,472.29,0.0,0.0,299.569,472.282,0.0,0.0,299.573,472.304,299.585,472.31,299.557,472.307,299.57,472.313,0.0,0.0
RHeel,304.71,472.255,304.806,472.247,304.802,472.244,304.75,472.232,304.737,472.247,304.615,472.23,304.665,472.238,299.859,472.226,304.611,472.243,304.663,472.244
