,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,385.856,122.191,385.967,117.203,385.961,112.193,385.905,112.15,386.203,112.18,396.152,112.073,411.221,112.208,416.154,112.145,421.261,117.171,421.419,112.133
neck,386.138,172.954,385.849,172.952,385.822,172.933,385.736,172.875,381.077,167.868,385.844,162.836,385.951,167.709,386.109,167.76,390.933,162.847,401.05,157.735
RShoulder,345.279,177.762,340.301,177.834,340.284,177.871,340.115,177.87,340.13,177.728,340.386,172.871,340.433,172.81,345.303,172.834,345.52,172.726,350.585,162.749
RElbow,279.378,177.909,264.257,178.035,264.2,178.162,264.225,178.067,264.397,177.912,264.425,177.903,264.459,177.898,274.337,177.833,289.64,177.89,299.513,173.012
RWrist,218.373,142.694,198.386,147.723,193.277,157.72,193.207,152.639,198.282,142.776,193.242,142.592,203.33,142.682,213.403,147.529,218.648,147.513,223.655,142.66
LShoulder,431.788,167.843,431.548,167.806,426.798,167.765,431.512,162.726,426.676,152.761,426.751,152.596,431.549,152.66,431.662,152.713,436.568,152.558,446.802,147.746
LElbow,507.671,142.493,507.567,142.382,507.529,142.436,507.644,137.653,502.696,137.581,502.632,137.467,502.751,137.545,502.751,142.333,507.716,137.542,507.881,142.41
LWrist,568.535,117.216,573.49,117.226,568.429,117.119,568.571,107.129,558.286,106.902,553.426,102.209,558.407,107.111,558.446,117.219,573.469,112.087,573.574,117.17
MidHip,386.235,309.782,386.06,305.021,386.197,309.807,390.922,309.826,391.054,309.776,391.147,304.991,396.047,305.059,401.081,305.031,411.167,309.765,416.245,304.928
RHip,365.664,305.041,355.622,305.003,360.618,309.828,360.653,309.874,365.696,309.878,370.668,309.783,375.675,309.942,375.809,309.889,380.697,309.84,380.909,305.0
RKnee,380.712,421.248,380.872,421.328,380.602,421.522,380.566,421.488,380.611,421.507,380.655,421.45,380.761,426.34,380.759,426.275,380.94,426.262,380.994,421.455
RAnkle,375.82,472.28,375.638,472.271,375.751,472.265,375.809,472.244,375.882,472.274,380.772,472.271,380.979,472.279,381.106,472.283,381.091,472.296,385.771,472.29
LHip,421.537,309.796,421.419,305.009,421.574,305.051,426.281,305.045,426.421,304.954,426.493,304.859,426.537,304.888,426.694,304.889,431.607,304.998,436.67,304.871
LKnee,401.181,421.501,416.145,421.506,421.255,426.376,421.602,426.382,426.72,421.458,436.58,421.408,451.761,426.293,456.833,426.372,461.659,426.46,461.922,421.579
LAnkle,375.85,472.3,380.703,472.293,396.165,472.306,411.315,472.313,426.278,472.311,436.729,472.302,462.11,472.318,466.796,472.323,462.263,472.326,467.01,472.305
REye,380.833,107.113,380.9,107.035,380.879,106.92,380.824,102.215,381.074,102.219,386.06,102.123,391.134,102.166,396.036,102.159,406.308,102.221,416.177,102.139
LEye,390.969,107.043,391.021,106.949,391.002,102.163,390.972,102.121,396.053,102.122,406.287,102.052,416.332,102.176,421.129,102.148,421.562,102.23,426.32,102.102
REar,375.565,122.242,365.735,122.243,365.606,122.141,360.599,117.164,360.613,112.107,370.767,107.082,380.589,106.98,380.752,107.031,381.001,106.938,385.844,102.172
LEar,411.36,117.103,406.298,117.078,406.175,112.118,406.285,107.207,406.229,107.02,416.121,102.02,416.466,102.107,421.228,102.181,421.443,101.806,426.635,102.054
LBigToe,380.807,472.312,385.921,472.312,421.149,472.351,421.135,472.347,426.373,472.354,0.0,0.0,462.106,472.364,466.935,472.364,0.0,0.0,467.084,472.357
LSmallToe,380.815,472.322,385.924,472.322,421.299,472.352,421.283,472.349,426.607,472.351,0.0,0.0,477.212,472.368,477.295,472.367,0.0,0.0,472.266,472.358
LHeel,375.743,472.316,380.699,472.293,406.112,472.329,416.281,472.328,426.418,472.329,0.0,0.0,462.202,472.343,466.852,472.351,466.857,472.355,467.019,472.331
RBigToe,360.648,472.322,0.0,0.0,0.0,0.0,0.0,0.0,375.755,472.361,380.774,472.362,381.055,472.371,0.0,0.0,381.019,472.373,385.944,472.372
RSmallToe,355.531,472.33,0.0,0.0,0.0,0.0,0.0,0.0,355.558,472.362,365.69,472.357,365.729,472.358,0.0,0.0,370.638,472.362,380.727,472.359
RHeel,375.654,472.28,0.0,0.0,375.703,472.251,375.793,472.229,375.837,472.275,380.795,472.274,381.052,472.29,385.766,472.304,385.747,472.316,385.984,472.3
