,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,309.763,142.668,294.731,157.671,294.58,142.412,269.268,157.658,0.0,0.0,259.206,137.387,253.949,142.579,254.059,137.551,253.93,142.609,253.933,147.57
neck,304.627,167.763,299.438,182.929,289.593,177.74,264.435,178.137,0.0,0.0,263.989,152.767,258.924,157.781,258.955,162.762,258.863,177.86,258.82,178.092
RShoulder,264.381,167.717,259.337,178.253,254.145,172.939,228.826,178.129,0.0,0.0,223.864,162.855,218.663,167.761,223.441,172.733,218.706,178.058,218.694,182.845
RElbow,228.752,137.334,223.474,152.676,218.326,167.765,188.33,167.867,0.0,0.0,193.139,142.355,178.177,137.505,183.254,142.64,183.094,167.872,178.18,177.867
RWrist,218.789,96.9765,218.603,122.167,218.334,112.091,203.347,122.137,0.0,0.0,182.992,96.8239,172.861,91.7689,172.802,96.8429,177.857,122.203,162.878,132.349
LShoulder,340.122,167.798,320.114,182.831,319.949,177.747,304.726,178.094,0.0,0.0,299.527,147.683,289.635,147.752,289.582,152.648,284.554,172.944,284.42,177.857
LElbow,375.709,127.225,360.493,147.52,345.575,152.737,340.469,147.716,0.0,0.0,330.025,127.282,309.953,102.015,309.803,127.207,304.797,137.202,299.919,137.524
LWrist,380.984,86.6552,350.543,102.137,340.108,107.181,320.086,112.026,0.0,0.0,304.832,91.8025,284.471,76.569,294.72,96.6262,289.573,101.811,259.021,102.156
MidHip,304.611,294.525,294.706,299.623,284.42,299.544,269.255,299.796,264.287,294.486,264.096,294.524,259.29,294.515,259.222,294.56,259.131,299.444,259.178,299.644
RHip,274.487,294.496,264.269,299.626,259.189,299.533,254.033,299.866,243.972,294.556,233.899,294.611,228.74,294.676,228.681,294.688,228.661,299.584,228.697,299.721
RKnee,259.039,385.781,258.817,386.106,248.865,401.123,228.76,411.161,223.947,391.086,223.933,395.981,228.649,391.01,228.784,391.136,228.859,390.922,228.796,396.121
RAnkle,243.83,472.22,248.884,472.18,233.86,472.23,223.832,472.246,233.769,472.271,243.962,472.276,243.909,472.274,253.925,472.269,254.126,472.242,253.914,472.282
LHip,335.064,294.518,309.929,299.58,304.77,299.516,299.698,299.716,299.461,289.493,294.553,289.596,289.591,289.51,284.556,289.601,279.497,294.671,284.455,299.523
LKnee,340.297,385.824,335.064,385.799,324.988,386.129,314.96,386.195,309.769,380.923,304.962,381.065,304.672,380.983,299.956,385.752,299.74,380.96,299.861,386.072
LAnkle,345.148,472.242,340.421,441.851,340.476,472.228,340.246,472.211,340.208,472.26,340.219,472.259,325.156,472.242,315.016,472.247,309.832,472.245,304.701,472.276
REye,304.739,142.392,289.52,147.602,289.562,137.543,264.31,147.56,0.0,0.0,259.026,137.167,238.853,137.656,249.064,137.329,238.903,137.675,243.853,142.468
LEye,314.967,142.43,299.745,147.648,299.578,137.46,274.386,147.585,0.0,0.0,259.336,137.175,259.004,137.584,259.031,137.232,258.969,137.536,258.95,142.4
REar,294.696,142.632,274.414,152.683,269.268,137.61,259.073,147.603,0.0,0.0,254.03,137.289,228.759,142.535,238.806,137.551,228.679,142.514,233.762,142.717
LEar,335.1,142.429,309.765,157.657,304.915,137.578,294.625,147.564,0.0,0.0,269.476,132.306,269.199,137.549,264.457,132.389,264.453,137.631,264.308,142.643
LBigToe,0.0,0.0,340.222,472.184,345.306,472.229,345.219,472.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.848,472.269
LSmallToe,0.0,0.0,345.605,472.185,350.379,472.211,345.513,472.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.057,472.266
LHeel,0.0,0.0,0.0,0.0,340.353,472.229,340.231,472.216,340.187,472.269,340.116,472.247,325.032,472.241,0.0,0.0,0.0,0.0,304.614,472.27
RBigToe,243.913,472.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.012,472.279,254.013,472.274,254.111,472.269
RSmallToe,228.782,472.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.864,472.299,243.938,472.287,233.726,472.319
RHeel,249.041,472.213,253.975,472.19,233.89,472.219,223.794,472.246,248.911,472.283,249.029,472.275,253.897,472.256,254.087,472.249,259.021,472.236,253.967,472.271
