,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,310.009,96.926,310.024,96.7952,325.144,96.6559,330.167,91.7091,335.056,86.7005,335.278,86.7191,340.138,71.6339,340.008,71.643,339.998,71.5178,340.03,66.6215
neck,314.984,142.736,320.097,142.695,330.028,142.471,330.11,137.658,335.021,137.568,335.232,137.492,340.028,137.296,340.035,137.298,335.313,137.216,335.248,137.21
RShoulder,279.403,147.517,284.565,142.73,289.556,142.484,294.467,137.645,294.65,137.492,294.679,137.255,299.416,132.429,299.519,132.195,299.481,132.148,294.743,127.309
RElbow,264.094,208.353,264.212,208.445,264.517,203.392,269.337,203.403,264.205,188.26,264.292,188.226,264.334,183.101,264.402,178.175,259.276,177.89,258.955,172.765
RWrist,264.151,218.418,264.189,223.689,264.2,218.75,269.406,243.873,264.347,177.834,264.164,178.126,264.342,218.557,269.265,188.165,0.0,0.0,259.219,137.492
LShoulder,355.574,142.542,360.595,142.631,365.668,142.508,365.627,142.366,370.627,142.275,375.735,142.386,380.587,137.536,375.875,142.285,375.774,137.596,375.776,137.631
LElbow,406.218,193.184,391.182,208.4,381.032,208.386,380.864,213.331,385.825,198.338,386.085,208.373,385.926,203.439,386.1,203.403,391.078,198.318,396.121,203.388
LWrist,375.799,188.274,375.785,198.333,365.703,183.091,375.622,203.338,345.652,218.508,355.513,188.047,360.581,183.209,355.446,218.325,345.599,223.645,350.502,248.951
MidHip,319.985,264.421,314.908,269.254,309.837,269.293,309.841,264.392,309.819,264.199,304.997,264.186,304.95,264.095,304.773,264.044,304.679,259.286,299.893,259.284
RHip,299.7,264.49,299.551,269.261,294.574,269.272,294.613,264.384,294.607,264.126,289.53,264.047,289.448,259.3,284.457,259.212,279.479,259.012,274.404,259.006
RKnee,305.045,380.635,299.883,380.64,299.699,380.649,299.622,380.67,289.59,370.74,264.131,365.607,258.961,345.457,233.797,340.17,223.688,330.098,223.458,320.048
RAnkle,320.096,472.189,305.058,446.844,309.943,472.214,309.9,472.218,309.934,472.176,299.756,472.166,289.628,446.828,264.086,426.653,258.979,421.362,253.846,416.312
LHip,345.198,264.4,340.49,269.237,340.3,269.3,340.272,264.38,340.229,264.252,340.145,264.312,340.106,264.289,335.189,264.315,335.078,264.246,330.025,264.213
LKnee,339.963,375.848,339.967,380.734,335.191,380.608,335.212,375.844,335.049,375.837,335.097,380.844,335.245,375.803,330.076,370.763,325.11,375.747,314.918,370.759
LAnkle,330.105,472.221,330.231,472.215,335.223,472.238,335.219,472.247,335.202,472.234,315.001,472.246,330.079,472.226,335.143,436.793,325.126,472.173,330.142,472.182
REye,304.796,91.8367,304.84,91.6742,309.947,86.694,314.944,76.6071,319.962,71.5322,325.096,71.4827,330.165,61.6545,330.047,61.6189,330.024,61.5672,330.029,61.4601
LEye,325.017,91.7877,325.101,91.5724,340.016,86.698,340.169,76.6536,340.259,71.6291,340.436,71.6135,345.183,66.3807,345.108,66.4147,340.528,61.6632,345.125,61.5434
REar,299.577,96.883,299.736,96.8053,304.612,96.5698,304.802,91.5856,304.925,86.687,309.758,86.6577,309.969,76.5304,309.928,71.4801,309.834,66.6535,305.096,66.5971
LEar,340.054,96.7128,340.261,91.8568,345.316,91.8298,345.454,91.6144,345.523,91.6215,350.401,91.5723,355.426,76.5654,350.642,76.5904,350.582,76.4814,350.587,71.5951
LBigToe,0.0,0.0,0.0,0.0,335.264,472.277,335.111,472.303,330.086,472.27,315.056,472.286,315.067,472.252,309.898,472.176,304.904,472.213,309.809,472.215
LSmallToe,0.0,0.0,0.0,0.0,345.307,472.281,340.316,472.308,340.35,472.272,335.187,472.272,340.292,472.249,340.231,472.199,335.085,472.252,340.16,472.248
LHeel,0.0,0.0,330.227,472.219,335.198,472.24,335.132,472.257,335.177,472.24,315.001,472.252,0.0,0.0,340.127,472.167,335.099,472.2,335.27,472.212
RBigToe,315.022,472.187,0.0,0.0,304.933,472.215,304.612,472.239,294.683,472.216,279.49,472.226,269.409,472.217,248.951,472.165,228.669,436.667,223.607,431.687
RSmallToe,314.882,472.179,0.0,0.0,299.773,472.218,0.0,0.0,289.565,472.196,274.35,472.217,264.236,472.203,0.0,0.0,223.488,426.695,218.42,426.453
RHeel,320.008,472.183,0.0,0.0,309.93,472.194,309.905,472.217,314.917,472.196,304.69,472.18,0.0,0.0,269.407,431.669,264.274,426.392,259.266,421.371
