,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,335.109,102.209,330.204,101.808,319.931,101.844,314.877,101.82,310.042,97.0595,310.009,96.926,310.024,96.7952,325.144,96.6559,330.167,91.7091,335.056,86.7005
neck,314.951,152.611,314.916,147.781,314.841,147.736,310.025,147.611,314.878,142.737,314.984,142.736,320.097,142.695,330.028,142.471,330.11,137.658,335.021,137.568
RShoulder,279.508,157.773,274.382,157.756,269.498,157.667,269.498,152.587,279.367,147.599,279.403,147.517,284.565,142.73,289.556,142.484,294.467,137.645,294.65,137.492
RElbow,259.262,218.441,258.862,218.461,258.869,218.463,254.036,218.382,264.207,208.511,264.094,208.353,264.212,208.445,264.517,203.392,269.337,203.403,264.205,188.26
RWrist,289.532,218.507,284.566,223.686,289.605,223.42,274.456,213.313,259.344,213.534,264.151,218.418,264.189,223.689,264.2,218.75,269.406,243.873,264.347,177.834
LShoulder,355.41,147.469,355.559,142.693,355.577,142.652,355.416,142.687,350.634,142.54,355.574,142.542,360.595,142.631,365.668,142.508,365.627,142.366,370.627,142.275
LElbow,411.214,177.987,416.348,152.751,416.444,162.722,416.159,178.038,406.251,182.981,406.218,193.184,391.182,208.4,381.032,208.386,380.864,213.331,385.825,198.338
LWrist,416.232,132.42,426.252,106.967,426.506,107.054,421.207,127.188,396.116,132.298,375.799,188.274,375.785,198.333,365.703,183.091,375.622,203.338,345.652,218.508
MidHip,330.208,274.296,325.071,279.51,324.998,279.35,315.03,269.451,320.082,269.231,319.985,264.421,314.908,269.254,309.837,269.293,309.841,264.392,309.819,264.199
RHip,304.627,274.416,299.854,284.513,299.763,279.454,299.607,274.354,299.735,269.371,299.7,264.49,299.551,269.261,294.574,269.272,294.613,264.384,294.607,264.126
RKnee,309.869,375.588,310.008,380.9,305.025,380.762,305.054,380.714,309.973,380.73,305.045,380.635,299.883,380.64,299.699,380.649,299.622,380.67,289.59,370.74
RAnkle,325.007,472.201,335.221,472.207,320.09,472.22,324.979,472.198,335.264,472.205,320.096,472.189,305.058,446.844,309.943,472.214,309.9,472.218,309.934,472.176
LHip,345.616,269.349,345.465,274.439,345.443,274.317,345.225,269.303,345.317,264.446,345.198,264.4,340.49,269.237,340.3,269.3,340.272,264.38,340.229,264.252
LKnee,345.621,375.594,345.357,380.694,340.271,380.744,340.066,375.769,340.073,375.726,339.963,375.848,339.967,380.734,335.191,380.608,335.212,375.844,335.049,375.837
LAnkle,345.482,472.217,345.401,472.218,335.083,472.241,325.125,472.232,335.286,472.235,330.105,472.221,330.231,472.215,335.223,472.238,335.219,472.247,335.202,472.234
REye,315.02,101.784,310.027,96.8719,305.015,96.8858,304.866,96.8472,304.791,96.6421,304.796,91.8367,304.84,91.6742,309.947,86.694,314.944,76.6071,319.962,71.5322
LEye,340.086,97.0944,335.308,96.7608,330.156,96.8451,330.018,96.8206,325.089,96.5972,325.017,91.7877,325.101,91.5724,340.016,86.698,340.169,76.6536,340.259,71.6291
REar,299.735,102.101,299.614,101.911,299.555,101.847,299.474,101.72,299.477,97.0206,299.577,96.883,299.736,96.8053,304.612,96.5698,304.802,91.5856,304.925,86.687
LEar,0.0,0.0,340.315,101.995,340.146,101.9,340.087,101.741,340.074,96.8778,340.054,96.7128,340.261,91.8568,345.316,91.8298,345.454,91.6144,345.523,91.6215
LBigToe,345.583,472.258,345.549,472.263,335.214,472.286,0.0,0.0,340.148,472.291,0.0,0.0,0.0,0.0,335.264,472.277,335.111,472.303,330.086,472.27
LSmallToe,370.631,472.244,360.597,472.25,340.331,472.289,0.0,0.0,345.249,472.301,0.0,0.0,0.0,0.0,345.307,472.281,340.316,472.308,340.35,472.272
LHeel,345.281,472.224,345.212,472.227,0.0,0.0,0.0,0.0,335.214,472.239,0.0,0.0,330.227,472.219,335.198,472.24,335.132,472.257,335.177,472.24
RBigToe,309.817,472.237,0.0,0.0,314.924,472.239,325.106,472.207,335.28,472.203,315.022,472.187,0.0,0.0,304.933,472.215,304.612,472.239,294.683,472.216
RSmallToe,304.783,472.24,0.0,0.0,314.935,472.234,0.0,0.0,335.146,472.207,314.882,472.179,0.0,0.0,299.773,472.218,0.0,0.0,289.565,472.196
RHeel,324.984,472.22,335.152,472.217,320.01,472.209,0.0,0.0,0.0,0.0,320.008,472.183,0.0,0.0,309.93,472.194,309.905,472.217,314.917,472.196
