,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,421.583,96.9977,421.505,97.0497,421.334,97.0184,421.191,101.728,416.377,101.827,401.135,97.0444,391.084,96.9332,386.166,101.85,385.922,101.773,381.033,101.776
neck,421.198,147.723,421.172,147.723,421.14,147.757,421.128,147.774,416.347,147.684,406.216,147.756,396.188,152.613,391.221,147.764,390.905,147.608,385.906,147.533
RShoulder,380.622,142.529,380.663,142.572,380.715,142.723,380.689,142.75,380.611,142.736,375.578,147.476,365.639,147.605,360.58,147.604,350.633,147.5,345.569,142.782
RElbow,340.22,183.176,345.185,183.086,355.581,198.39,350.422,198.299,350.472,203.298,345.551,198.324,345.309,203.375,345.195,193.355,340.162,193.336,340.069,193.211
RWrist,309.811,142.599,330.1,157.743,345.507,223.639,345.365,233.816,345.62,228.812,345.309,218.319,340.449,208.48,340.109,223.431,335.15,223.461,335.114,218.521
LShoulder,461.848,162.859,461.735,162.858,456.901,157.801,456.915,157.788,451.941,152.693,441.748,152.637,436.694,152.725,431.758,147.797,426.679,147.635,426.353,147.579
LElbow,467.3,223.502,466.866,223.536,462.084,223.477,462.004,223.447,461.798,218.547,462.071,213.472,462.014,218.295,457.03,218.329,441.701,218.369,436.725,213.401
LWrist,446.78,223.758,441.736,218.752,436.64,223.568,441.678,259.254,436.579,243.911,431.623,243.976,431.51,238.949,426.498,213.51,426.441,213.453,421.491,218.678
MidHip,391.156,274.376,391.11,274.399,391.026,274.29,391.023,274.292,390.999,269.432,386.185,269.48,386.087,274.407,385.894,274.332,385.697,274.4,380.822,274.321
RHip,375.762,269.27,375.736,269.32,375.771,269.248,375.764,269.239,375.79,269.204,375.567,269.328,370.607,269.486,360.557,269.385,350.582,269.459,345.611,269.402
RKnee,345.585,370.613,345.551,370.758,345.518,365.715,345.247,360.677,345.225,365.541,345.186,360.671,345.24,370.613,340.477,365.691,340.413,370.798,340.179,375.856
RAnkle,345.322,472.195,345.164,472.212,345.186,472.201,340.205,472.194,340.003,472.192,335.193,472.217,340.221,472.214,335.266,472.192,340.048,472.196,335.21,472.2
LHip,426.249,284.432,421.637,284.408,421.494,279.446,421.506,279.45,421.447,274.454,421.32,274.436,421.241,279.446,416.389,279.43,416.203,279.492,406.136,274.47
LKnee,421.385,380.889,421.35,380.81,421.322,380.855,421.317,380.732,421.264,380.572,421.231,380.544,421.144,380.574,421.114,380.614,416.41,380.563,416.364,380.616
LAnkle,416.452,472.242,416.443,472.237,416.363,472.229,416.32,472.225,416.293,472.218,416.412,472.229,416.268,472.23,416.386,472.208,416.385,472.211,421.221,472.199
REye,421.192,91.7819,416.446,91.8569,416.217,91.8583,411.304,96.6717,406.252,96.7845,390.978,96.581,385.972,91.8301,385.783,96.8042,380.96,96.7392,380.604,96.7445
LEye,426.672,91.8858,426.577,96.6077,426.414,91.8789,426.273,96.693,421.551,96.7888,416.314,96.595,406.28,91.8244,396.199,96.8281,391.094,96.7157,386.075,96.7103
REar,396.185,96.8722,396.079,96.9137,391.214,96.8945,391.137,97.0211,386.224,97.0909,385.715,97.0139,380.879,97.0167,380.654,101.79,375.805,101.695,370.624,101.692
LEar,441.673,97.0855,436.696,97.0719,436.556,97.0068,431.605,101.701,426.811,101.706,426.266,97.0322,421.404,97.0049,421.176,101.829,416.179,97.0724,406.174,97.0402
LBigToe,416.455,472.257,0.0,0.0,416.389,472.243,411.223,472.245,411.221,472.238,411.333,472.248,406.252,472.248,406.295,472.224,411.234,472.22,416.28,472.215
LSmallToe,426.564,472.269,0.0,0.0,426.506,472.261,426.386,472.262,426.367,472.258,426.441,472.268,426.329,472.269,426.368,472.249,426.405,472.253,426.552,472.242
LHeel,0.0,0.0,0.0,0.0,416.398,472.247,416.352,472.244,416.329,472.24,0.0,0.0,416.321,472.255,0.0,0.0,421.188,472.239,421.329,472.227
RBigToe,340.176,472.223,340.146,472.237,335.264,472.228,330.182,472.225,330.074,472.226,325.123,472.247,330.186,472.235,330.114,472.226,330.17,472.23,335.062,472.241
RSmallToe,335.107,472.215,335.139,472.24,335.101,472.226,324.982,472.22,320.009,472.22,320.026,472.246,325.12,472.237,320.047,472.223,325.089,472.231,325.087,472.239
RHeel,350.421,472.217,345.501,472.23,345.513,472.222,345.231,472.213,340.29,472.212,340.194,472.234,340.452,472.231,340.255,472.213,340.372,472.215,340.224,472.216
