,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,340.15,102.202,340.343,102.0,345.285,102.084,350.426,107.003,355.531,107.097,375.745,102.199,380.67,102.228,380.917,107.08,386.064,107.145,391.109,107.114
neck,340.359,162.741,340.469,162.841,345.364,167.772,350.361,167.741,350.59,167.764,370.739,157.705,380.549,157.66,380.814,157.728,385.893,162.747,386.194,157.691
RShoulder,304.572,172.738,304.608,172.787,305.032,172.736,314.94,167.755,320.044,162.762,335.168,157.621,340.17,157.638,340.498,152.743,345.591,157.779,350.641,152.722
RElbow,274.497,223.419,279.345,218.77,289.448,218.667,294.6,213.531,304.669,218.317,304.935,213.586,304.959,213.388,314.947,208.388,335.031,213.537,335.235,213.532
RWrist,269.366,182.97,269.385,178.095,274.35,188.059,289.598,218.425,309.881,223.476,325.05,223.722,335.07,223.652,340.177,223.503,345.295,218.69,345.497,203.402
LShoulder,380.668,157.664,380.922,157.805,385.736,162.848,385.989,167.766,386.196,167.87,406.111,157.693,411.347,162.686,416.428,162.74,421.663,167.757,426.523,162.694
LElbow,411.179,208.475,401.155,213.553,401.234,218.365,411.327,213.574,416.417,218.333,426.459,213.499,436.714,208.394,456.8,193.333,461.856,198.317,462.162,188.163
LWrist,381.081,228.913,385.893,253.885,386.041,253.898,391.184,238.765,416.446,223.436,426.65,218.66,426.395,147.7,451.826,147.605,467.335,157.702,482.345,162.77
MidHip,345.426,274.372,345.542,279.448,345.667,279.408,350.53,274.429,355.625,279.375,370.711,279.356,375.651,274.491,380.758,274.411,385.829,284.479,386.007,279.454
RHip,325.017,279.357,330.02,284.508,335.068,284.401,335.292,279.345,340.222,279.441,340.522,279.358,345.225,274.422,345.61,274.296,355.644,279.508,365.599,279.399
RKnee,335.304,380.688,340.048,380.829,339.989,380.77,340.02,380.759,340.012,375.744,340.242,370.715,340.461,365.657,345.144,365.548,345.124,370.757,345.369,375.704
RAnkle,345.424,472.233,345.524,472.234,345.388,472.22,345.203,472.185,340.064,431.801,340.188,441.737,340.295,431.642,340.131,431.625,340.022,472.178,340.258,472.231
LHip,380.62,269.469,380.753,274.446,380.83,274.457,381.034,274.356,385.802,274.434,386.191,274.391,390.939,274.477,401.093,274.465,416.341,289.496,421.195,284.398
LKnee,391.014,370.595,391.108,370.583,391.087,370.639,391.121,370.654,391.184,370.684,411.327,370.594,406.178,365.617,416.344,370.704,421.23,380.634,421.294,380.719
LAnkle,421.165,472.187,421.179,472.176,416.364,472.179,411.168,472.176,411.195,441.751,421.189,441.86,411.298,436.824,416.387,441.809,416.424,472.227,421.147,472.228
REye,330.199,101.785,335.187,96.9922,340.248,97.0732,345.317,101.887,345.579,101.939,360.665,101.723,370.759,101.756,375.811,101.972,381.083,102.017,385.964,101.998
LEye,345.144,101.737,345.333,96.9417,350.39,97.0519,360.603,101.921,370.701,101.97,380.841,101.771,381.11,101.803,385.919,101.964,395.984,102.026,406.162,101.983
REar,309.925,106.901,314.942,102.104,325.081,102.174,340.033,107.039,340.303,107.004,345.473,102.091,350.432,102.163,355.591,106.947,375.693,107.082,380.661,106.977
LEar,350.431,102.069,350.616,101.945,365.589,102.022,375.795,107.058,380.735,107.092,385.835,106.934,386.261,102.219,396.028,107.005,411.281,107.182,416.41,107.011
LBigToe,421.442,472.207,421.465,472.205,421.313,472.207,0.0,0.0,401.123,472.195,416.297,472.186,401.113,472.166,411.229,472.183,416.291,472.242,416.45,472.255
LSmallToe,431.523,472.216,431.538,472.209,426.681,472.215,0.0,0.0,421.58,472.192,426.561,472.196,421.415,472.188,426.445,472.195,426.489,472.264,426.543,472.266
LHeel,421.225,472.212,421.207,472.204,416.382,472.207,406.219,472.195,406.176,472.173,416.39,472.186,411.179,472.178,416.201,472.175,416.415,472.241,0.0,0.0
RBigToe,345.554,472.266,0.0,0.0,345.403,472.252,345.202,472.238,340.107,472.19,340.246,472.198,340.336,441.786,340.154,441.757,330.14,472.212,335.2,472.25
RSmallToe,340.347,472.283,0.0,0.0,340.194,472.262,335.285,472.236,325.072,472.183,335.055,472.208,325.119,436.729,319.944,436.736,325.019,472.215,335.063,472.264
RHeel,350.422,472.242,350.464,472.244,350.372,472.234,345.435,472.205,340.32,441.817,345.2,472.182,345.164,441.745,340.309,436.755,340.313,472.203,345.217,472.247
