,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,365.693,10.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neck,355.624,96.9242,375.687,101.698,380.907,97.1105,391.143,97.0361,406.129,101.81,421.175,102.153,426.254,102.209,426.775,102.24,436.644,102.217,441.766,106.931
RShoulder,309.928,96.6873,320.037,96.9971,340.132,97.0334,345.538,96.9744,355.441,101.698,375.565,101.958,380.606,101.926,381.079,101.932,386.073,101.99,391.072,102.024
RElbow,294.486,167.882,299.467,167.79,304.777,167.872,315.063,172.828,335.059,172.888,340.204,177.734,345.292,177.843,345.531,172.929,350.613,177.732,350.645,173.007
RWrist,345.202,167.952,345.422,178.229,350.382,183.324,375.682,188.228,380.982,188.178,385.998,193.251,391.123,203.417,391.133,198.321,411.331,182.941,406.263,172.751
LShoulder,411.227,101.683,421.345,101.866,426.307,101.789,436.696,101.701,446.876,102.054,462.038,106.97,467.266,106.985,477.174,107.143,487.294,107.173,492.316,107.19
LElbow,421.447,172.73,431.708,172.971,441.682,172.861,467.016,172.975,477.352,162.686,512.765,142.763,522.968,142.29,538.168,142.301,538.083,157.643,527.866,173.029
LWrist,426.267,188.226,421.641,183.054,456.852,152.705,466.868,107.163,477.318,101.903,517.845,91.825,543.252,76.6238,548.192,81.697,543.152,97.0842,538.088,112.126
MidHip,370.771,258.886,380.716,254.086,386.017,258.967,396.084,258.947,411.203,259.049,416.448,259.066,421.358,259.361,426.295,259.218,426.637,259.107,426.669,259.223
RHip,340.2,258.93,345.167,254.076,350.628,258.973,375.658,258.96,380.727,259.046,381.035,259.003,385.798,259.243,386.234,259.076,396.061,259.022,396.092,259.13
RKnee,340.299,380.912,345.323,380.723,350.472,380.619,360.599,375.874,370.703,380.746,375.883,375.676,380.609,380.562,380.631,380.586,380.872,370.77,380.869,375.794
RAnkle,335.088,472.292,340.333,472.289,340.196,472.277,340.134,472.284,340.393,472.287,345.313,472.289,345.303,472.293,350.452,472.289,355.629,472.281,365.577,472.256
LHip,396.043,254.161,416.146,254.15,421.494,259.003,426.569,258.932,431.688,258.974,446.787,259.113,456.84,264.106,461.77,264.042,462.055,259.264,462.08,264.015
LKnee,426.705,375.584,431.664,375.784,436.602,380.572,451.78,375.572,457.021,375.85,461.823,380.611,461.747,380.908,461.779,380.933,461.9,380.57,461.922,380.653
LAnkle,461.857,472.274,456.935,472.281,446.784,472.268,456.818,472.249,461.795,472.273,461.729,472.263,457.009,472.28,456.894,472.261,456.95,472.251,456.872,472.251
REye,350.5,13.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.154,10.5724,0.0,0.0,0.0,0.0,426.769,10.5484,0.0,0.0
LEye,380.651,13.0225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.972,10.5447,0.0,0.0
REar,340.293,10.5468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.13,41.0416,396.164,46.1013,416.221,50.9897,421.341,46.1017,421.588,50.936
LEar,385.943,10.5603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.94,46.0017,461.945,51.1114,466.953,46.124,467.08,46.0297
LBigToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHeel,461.848,472.279,456.956,472.282,446.77,472.274,451.911,472.265,461.788,472.271,456.906,472.268,457.015,472.276,456.757,472.262,456.809,472.264,456.765,472.263
RBigToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.167,472.31,0.0,0.0,0.0,0.0,345.352,472.298,350.412,472.299,0.0,0.0
RSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.155,472.321,0.0,0.0,0.0,0.0,345.394,472.324,0.0,0.0,0.0,0.0
RHeel,340.131,472.303,345.33,472.289,345.203,472.282,340.355,472.286,345.336,472.285,0.0,0.0,345.527,472.284,360.584,472.277,370.66,472.272,370.772,472.254
