,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,330.184,51.099,334.998,51.1022,335.068,51.1571,335.136,51.1748,335.128,51.1148,335.132,51.0837,335.111,51.0169,335.1,50.9901,335.079,50.9794,335.055,46.145
neck,319.968,96.9207,325.04,97.0174,330.046,96.991,330.173,97.0114,330.203,97.0179,335.007,97.0115,330.146,96.9445,330.157,96.9241,335.006,96.8907,335.085,96.8737
RShoulder,269.41,96.845,274.416,96.9776,279.501,96.9212,284.394,96.9405,284.495,96.954,284.539,96.9733,279.523,96.8607,279.511,96.8696,284.45,96.8509,289.438,96.83
RElbow,203.422,96.9456,208.373,96.9101,213.369,96.9237,213.388,96.8634,213.454,96.7864,213.465,96.7881,213.404,96.7837,213.462,96.836,213.512,96.8192,213.579,96.8423
RWrist,137.392,86.7505,137.498,86.5934,137.459,76.654,137.53,76.6422,137.579,81.5758,137.561,81.6208,137.513,81.6218,137.607,81.7126,137.623,86.6341,137.608,81.6568
LShoulder,370.761,96.9229,370.79,96.9326,375.584,96.9305,375.673,96.9498,375.705,96.9378,375.707,96.9195,375.685,96.8834,375.683,96.8366,375.732,96.802,375.729,96.7723
LElbow,446.781,96.6109,451.902,91.8537,446.744,91.7771,451.791,91.8485,446.742,96.578,446.811,96.573,451.757,96.5797,451.759,96.5983,446.748,96.5478,446.743,96.5681
LWrist,512.624,86.6723,517.879,86.6023,512.65,81.6997,512.689,81.7066,507.802,81.7224,507.875,81.6075,507.916,81.6838,507.822,81.6436,507.839,76.6075,507.812,76.5556
MidHip,325.122,254.057,325.162,258.877,330.147,254.164,335.013,254.043,330.197,254.054,330.233,253.944,330.238,254.056,330.203,253.929,335.071,253.903,335.059,249.051
RHip,299.627,254.021,299.65,254.144,299.832,254.111,299.861,254.002,299.81,254.026,299.843,253.91,299.835,254.033,299.801,253.9,299.876,249.084,299.872,248.98
RKnee,299.556,375.649,299.598,375.785,304.76,380.801,304.538,375.619,299.898,375.763,299.95,370.766,299.955,375.803,299.938,370.732,299.921,375.842,299.923,375.809
RAnkle,299.789,472.24,299.904,472.244,320.017,472.262,310.008,472.238,314.886,472.242,310.041,472.237,314.839,472.248,314.988,472.232,314.888,472.237,309.972,472.243
LHip,345.634,254.062,345.656,258.915,350.366,258.862,350.469,254.085,350.432,254.098,350.446,253.999,350.463,254.101,350.466,253.985,350.569,253.98,350.554,253.926
LKnee,345.579,375.637,345.51,375.784,345.592,380.796,350.53,375.645,350.355,380.632,350.368,375.699,350.416,380.635,350.354,370.704,350.362,375.76,350.42,380.627
LAnkle,345.319,472.248,345.22,472.259,345.331,472.279,345.31,472.259,345.339,472.268,345.299,472.254,345.405,472.267,345.468,472.237,345.284,472.264,345.167,472.267
REye,0.0,0.0,314.917,35.9372,315.031,40.9747,319.956,40.9762,319.967,35.9593,319.957,35.9178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEye,340.144,40.982,340.185,45.9398,340.253,46.0058,340.309,46.0306,340.316,45.9806,340.309,41.058,340.301,40.9824,340.293,40.9525,340.272,35.9572,0.0,0.0
REar,299.83,51.2491,304.567,55.9962,304.679,55.9933,304.721,56.0023,304.745,55.9605,304.724,55.9271,304.684,51.2282,304.681,51.2242,304.68,51.2469,304.689,51.1868
LEar,345.38,56.0593,345.426,56.1177,345.503,56.1805,345.569,56.1771,345.585,56.1803,345.571,56.1299,345.572,56.0919,345.566,56.081,345.588,56.0434,345.615,55.9887
LBigToe,345.298,472.274,345.406,472.305,350.401,472.331,345.464,472.32,345.606,472.333,345.398,472.31,345.65,472.328,345.498,472.293,345.467,472.33,345.363,472.335
LSmallToe,365.656,472.268,370.704,472.279,355.549,472.337,360.568,472.306,360.562,472.326,360.539,472.299,365.638,472.313,365.68,472.274,355.601,472.325,350.573,472.333
LHeel,345.232,472.25,0.0,0.0,345.219,472.295,0.0,0.0,345.207,472.278,0.0,0.0,345.259,472.273,345.329,472.244,345.154,472.273,0.0,0.0
RBigToe,294.582,472.269,299.52,472.277,0.0,0.0,304.743,472.27,304.824,472.288,304.752,472.268,304.823,472.294,304.864,472.267,304.817,472.282,304.726,472.29
RSmallToe,289.509,472.276,294.583,472.286,0.0,0.0,304.633,472.28,304.711,472.289,304.632,472.28,304.701,472.295,304.668,472.276,304.68,472.284,304.662,472.29
RHeel,299.91,472.239,299.899,472.238,0.0,0.0,314.866,472.243,314.975,472.244,314.913,472.245,314.962,472.248,319.985,472.242,314.929,472.239,310.018,472.244
