,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,335.302,46.0396,335.313,46.0654,339.967,46.0562,339.999,46.0315,340.034,46.0471,340.05,46.0126,340.073,46.0493,340.052,41.0522,340.146,30.8715,0.0,0.0
neck,335.239,96.8361,335.274,96.8476,335.299,96.8327,335.318,96.8356,339.977,96.848,339.972,96.8317,339.963,96.8652,339.959,96.8912,339.976,96.8641,335.275,96.8451
RShoulder,289.627,96.6733,294.447,96.6919,294.479,96.6759,294.486,96.6748,294.519,96.6726,294.475,96.6666,294.49,96.6958,294.521,96.7264,294.498,96.6717,294.494,96.6623
RElbow,218.484,96.6773,218.45,96.66,218.555,96.6312,218.574,96.6211,218.574,96.6261,218.589,96.6483,218.514,96.7074,218.622,96.664,218.573,96.6911,218.707,96.616
RWrist,142.721,91.6893,142.684,91.6939,142.695,91.6809,142.705,91.6809,147.476,91.6741,142.742,91.6786,142.704,91.6957,147.513,91.7263,147.603,91.7392,147.661,91.7011
LShoulder,375.825,96.7601,375.849,96.7615,375.886,96.7609,380.558,96.7625,380.582,96.7662,380.591,96.7499,375.888,96.7818,375.864,96.8075,380.586,96.7803,375.759,96.7786
LElbow,441.666,96.5805,441.714,96.6256,446.706,96.6391,446.809,96.6281,446.789,96.6319,446.826,96.6121,446.797,96.6184,446.847,96.6046,451.84,96.6148,441.71,96.6176
LWrist,507.806,91.8662,507.807,91.8512,507.889,91.8387,507.915,96.5715,507.893,96.6054,507.884,91.8833,507.847,91.8626,507.904,91.8408,512.759,91.8342,507.767,91.8557
MidHip,339.988,249.05,335.273,248.928,339.975,249.0,339.992,249.03,340.012,249.078,335.32,253.911,335.31,253.967,335.275,253.893,339.99,249.051,335.293,249.025
RHip,304.653,249.019,304.627,244.015,304.632,248.94,304.679,248.97,304.675,249.02,304.664,249.063,304.655,253.908,304.65,249.044,304.633,248.984,304.655,248.949
RKnee,304.716,380.802,304.766,375.663,304.756,375.789,304.705,380.662,304.682,381.004,304.657,380.88,304.711,380.91,304.727,380.745,304.689,380.691,304.684,380.791
RAnkle,304.894,472.261,304.959,472.247,304.954,472.251,304.854,472.256,304.812,472.277,304.94,472.269,304.887,472.264,304.942,472.253,305.079,472.262,304.976,472.258
LHip,360.492,253.87,355.593,248.993,360.517,249.064,355.613,253.889,360.525,253.91,355.63,253.967,355.596,254.022,355.529,253.965,360.54,253.898,355.532,253.867
LKnee,350.595,381.027,350.519,375.844,350.605,380.814,350.57,380.921,350.608,385.875,350.617,385.736,350.608,385.762,350.582,380.962,355.409,380.934,350.606,380.952
LAnkle,345.291,472.282,345.418,472.259,345.396,472.274,345.392,472.275,345.288,472.293,345.371,472.281,345.341,472.282,345.357,472.275,345.294,472.284,345.355,472.277
REye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REar,305.002,50.9688,305.008,50.9944,305.016,50.9998,305.035,50.9851,305.067,51.0033,305.08,50.9806,305.077,51.0302,305.047,50.9829,305.057,46.1476,305.084,46.1027
LEar,350.355,51.2561,350.351,51.2636,350.375,51.2637,350.407,51.2329,350.442,51.2336,350.446,51.197,350.474,51.256,350.453,51.206,350.514,51.1385,350.436,51.1455
LBigToe,345.528,472.337,345.505,472.31,345.529,472.333,345.52,472.33,345.518,472.34,345.548,472.338,345.515,472.338,345.467,472.33,345.514,472.34,345.527,472.336
LSmallToe,365.636,472.324,370.688,472.286,365.685,472.317,365.645,472.316,360.642,472.342,365.635,472.325,365.586,472.328,365.596,472.317,360.58,472.332,365.632,472.321
LHeel,0.0,0.0,345.239,472.258,345.197,472.275,345.214,472.276,345.167,472.295,345.243,472.28,345.22,472.283,345.201,472.276,0.0,0.0,345.209,472.278
RBigToe,299.806,472.308,299.778,472.281,299.754,472.291,299.791,472.299,299.838,472.336,299.871,472.321,299.834,472.313,299.778,472.295,299.903,472.307,299.859,472.304
RSmallToe,299.766,472.309,299.705,472.288,299.717,472.294,299.73,472.301,299.778,472.334,299.795,472.322,299.768,472.314,299.709,472.296,299.831,472.308,299.797,472.305
RHeel,304.866,472.246,304.983,472.244,304.99,472.244,304.877,472.244,304.792,472.256,304.916,472.249,304.867,472.248,304.956,472.246,309.779,472.248,304.968,472.246
