,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,340.367,127.222,345.292,132.233,355.467,132.337,360.565,137.264,375.591,137.19,375.639,137.26,380.721,132.274,380.87,132.182,380.833,137.494,385.841,137.14
neck,320.07,172.868,340.057,173.022,340.306,172.925,345.158,177.724,345.647,177.79,350.394,177.797,355.485,172.947,360.585,172.987,365.584,177.738,370.586,177.936
RShoulder,294.585,162.775,299.925,167.916,304.885,167.741,309.841,167.789,314.951,167.848,315.007,167.747,325.066,157.666,335.002,162.71,335.046,157.808,335.141,162.723
RElbow,264.094,213.475,264.511,213.368,289.49,213.56,294.521,213.586,294.647,213.361,269.266,188.121,269.4,177.718,274.366,162.875,279.438,152.621,279.449,172.729
RWrist,299.927,183.358,304.996,218.778,330.166,223.618,335.041,223.854,330.04,218.775,299.727,208.416,304.704,142.448,304.906,111.982,314.875,107.025,299.458,117.075
LShoulder,345.652,177.781,365.708,177.901,370.644,177.862,380.593,178.12,385.711,178.175,385.895,178.221,386.201,178.232,391.075,178.162,396.041,182.964,396.144,183.275
LElbow,375.709,218.784,381.008,223.571,381.033,223.615,385.768,223.935,406.262,223.764,416.456,223.793,421.18,228.836,416.448,223.874,421.149,228.695,406.23,238.863
LWrist,381.022,188.11,381.061,208.38,385.988,203.316,396.168,218.36,416.181,218.69,426.431,259.032,426.662,279.507,421.194,249.079,411.3,193.208,396.198,269.217
MidHip,314.906,284.561,335.015,289.535,335.235,289.463,339.996,289.51,340.363,289.594,340.405,289.473,340.423,289.469,340.459,284.56,340.498,284.575,340.515,284.531
RHip,299.687,284.585,304.691,289.447,304.984,284.441,305.036,284.471,310.044,284.523,310.001,279.489,310.026,279.491,310.048,279.35,310.043,274.495,314.901,274.426
RKnee,294.533,380.59,299.46,375.694,299.733,375.63,299.727,375.637,304.661,365.633,304.758,370.589,304.97,370.689,309.785,370.707,309.857,365.689,324.982,365.596
RAnkle,274.376,472.189,274.45,472.185,274.475,472.186,279.476,472.195,289.465,472.172,294.7,472.181,299.699,472.179,299.904,472.21,304.676,472.175,335.014,472.167
LHip,340.415,284.545,345.538,289.609,345.63,289.584,350.419,294.425,360.602,294.557,365.672,294.502,365.624,294.487,365.678,294.486,370.646,294.549,370.581,294.526
LKnee,345.376,380.626,350.6,375.873,350.605,380.605,355.438,380.599,350.499,380.748,350.607,380.797,350.521,380.744,350.47,380.754,350.62,380.6,355.537,375.737
LAnkle,345.423,472.215,345.566,472.212,345.229,472.215,345.366,472.205,345.196,472.215,345.2,472.223,340.449,472.211,340.506,472.214,345.162,472.163,345.371,472.177
REye,335.276,111.994,340.354,117.136,345.592,117.236,350.347,127.225,360.513,127.185,360.601,127.256,375.683,117.075,375.884,112.151,375.867,132.175,380.973,122.113
LEye,345.268,112.039,350.384,117.186,370.575,127.181,375.672,132.217,380.698,127.352,380.776,132.179,385.764,122.174,385.896,117.218,385.944,137.157,391.085,127.294
REar,309.883,117.164,330.076,127.23,340.101,127.216,340.216,132.233,345.158,132.245,345.255,132.251,350.456,122.167,355.497,122.292,360.509,132.311,370.63,127.247
LEar,345.388,132.183,360.525,132.281,370.732,137.182,380.648,137.396,380.806,137.325,381.003,137.252,386.068,132.36,386.211,132.301,390.957,137.525,401.241,137.364
LBigToe,345.595,472.243,350.425,472.233,345.564,472.234,345.635,472.225,345.425,472.239,345.394,472.255,345.338,472.238,345.465,472.243,0.0,0.0,345.565,472.202
LSmallToe,375.7,472.233,375.84,472.235,370.627,472.236,370.75,472.225,365.615,472.235,360.606,472.24,355.555,472.226,360.648,472.228,0.0,0.0,370.663,472.191
LHeel,345.33,472.217,345.391,472.217,340.36,472.22,345.224,472.211,340.322,472.217,340.312,472.222,340.211,472.209,340.177,472.216,0.0,0.0,340.415,472.184
RBigToe,269.37,472.224,274.319,472.219,279.419,472.223,279.436,472.233,0.0,0.0,0.0,0.0,0.0,0.0,299.564,472.231,304.659,472.193,0.0,0.0
RSmallToe,264.134,472.215,264.176,472.204,264.286,472.208,264.314,472.214,0.0,0.0,0.0,0.0,0.0,0.0,289.52,472.24,294.629,472.207,0.0,0.0
RHeel,284.447,472.198,0.0,0.0,0.0,0.0,0.0,0.0,289.497,472.199,294.7,472.205,299.701,472.208,299.845,472.232,304.712,472.21,0.0,0.0
