,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,299.726,106.978,294.492,112.115,284.562,117.131,284.457,127.153,284.424,132.184,289.578,137.148,289.573,137.496,294.701,137.456,299.563,137.463,304.709,137.571
neck,299.916,162.801,299.416,172.85,294.543,172.786,294.53,172.883,294.618,172.89,294.599,177.742,294.724,177.904,299.498,177.939,299.707,177.837,305.02,172.965
RShoulder,264.214,172.837,259.075,177.73,258.863,177.716,258.867,177.875,259.116,177.95,258.999,178.134,259.173,178.202,259.239,178.201,264.098,178.081,269.505,177.885
RElbow,254.001,218.675,243.855,223.525,223.928,223.603,228.781,223.743,243.839,223.665,233.823,228.625,228.736,228.803,228.877,223.921,244.011,223.581,259.262,223.605
RWrist,254.153,228.734,0.0,0.0,238.836,183.195,249.023,259.069,238.929,233.888,253.876,254.06,243.999,213.447,244.025,228.697,258.887,238.928,0.0,0.0
LShoulder,340.26,152.723,330.205,167.917,330.032,167.726,325.11,167.774,325.026,167.783,325.104,167.867,330.013,172.829,330.149,172.967,335.193,172.882,345.264,172.73
LElbow,370.795,203.384,370.751,198.32,365.688,198.334,365.69,198.25,370.642,193.203,360.601,183.334,360.605,203.437,370.646,208.378,370.616,203.39,380.912,203.387
LWrist,365.642,183.226,375.791,213.367,375.78,218.319,370.718,188.162,345.172,157.67,365.572,178.117,375.777,208.413,380.954,213.456,380.868,213.574,350.473,157.683
MidHip,304.922,274.297,304.683,274.39,299.965,274.424,299.894,279.383,299.947,274.394,304.628,279.347,304.681,279.414,304.875,279.496,305.073,274.421,310.01,279.341
RHip,289.428,274.364,274.445,279.383,269.434,279.47,269.337,284.476,274.265,279.443,274.392,284.477,279.42,284.55,289.481,289.478,294.522,279.519,299.464,279.527
RKnee,289.545,375.783,289.497,375.729,284.575,375.86,284.532,380.72,284.583,380.789,284.492,380.837,294.524,380.927,294.621,380.996,299.41,380.653,299.439,380.742
RAnkle,304.554,472.216,304.567,472.216,304.65,472.216,304.637,472.221,304.611,472.224,304.68,472.211,304.553,472.215,299.915,472.208,304.538,472.195,299.763,472.168
LHip,340.073,269.417,335.235,269.465,335.033,269.469,330.151,274.317,330.159,269.408,335.151,269.492,335.147,274.279,340.007,274.379,340.187,269.38,340.437,269.503
LKnee,345.128,365.678,345.229,360.655,345.247,360.524,345.368,360.585,345.622,360.495,350.544,355.55,355.513,360.508,365.559,370.612,365.593,355.507,370.722,365.717
LAnkle,350.376,472.201,355.489,472.196,370.633,451.924,375.713,472.176,381.033,446.891,385.86,436.688,386.089,446.879,386.209,472.18,386.202,436.723,386.175,436.787
REye,294.554,101.893,274.491,102.198,269.308,107.034,269.271,112.083,269.312,122.133,274.267,127.293,274.283,137.144,284.462,132.419,294.451,132.417,299.737,137.194
LEye,304.721,101.854,299.599,102.16,294.622,106.939,294.551,107.202,294.558,117.145,299.4,127.18,294.721,132.35,299.709,132.344,299.938,132.302,305.083,132.455
REar,274.306,106.946,264.314,117.068,259.394,117.171,264.025,122.264,264.172,132.196,264.192,137.149,264.258,137.483,269.195,137.415,269.454,137.349,294.715,137.367
LEar,314.891,102.15,304.791,112.0,299.897,107.199,299.842,112.121,304.555,127.153,304.546,132.191,304.563,137.184,304.795,137.27,305.023,137.178,325.062,137.159
LBigToe,345.616,472.238,350.518,472.244,360.612,472.221,375.674,472.222,385.841,472.21,386.018,472.191,390.946,472.189,386.064,472.215,386.177,472.177,386.057,472.18
LSmallToe,375.714,472.243,380.73,472.247,381.019,472.226,385.94,472.233,396.039,472.214,401.1,472.191,411.212,472.206,401.187,472.238,406.207,472.198,401.136,472.2
LHeel,350.392,472.214,355.565,472.207,370.683,472.189,375.786,472.207,381.03,472.198,385.868,472.175,0.0,0.0,390.939,472.207,386.184,472.173,386.131,472.171
RBigToe,294.701,472.246,299.527,472.254,299.787,472.256,299.848,472.254,304.747,472.257,304.846,472.236,304.783,472.243,299.857,472.23,304.689,472.216,299.818,472.203
RSmallToe,289.631,472.254,294.567,472.265,299.491,472.269,299.51,472.272,299.651,472.282,299.705,472.265,299.693,472.268,299.639,472.259,299.68,472.24,299.537,472.223
RHeel,304.837,472.231,304.896,472.227,304.958,472.224,304.965,472.228,309.76,472.225,309.854,472.217,304.976,472.222,304.926,472.21,304.938,472.203,304.727,472.18
