,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,365.644,137.291,375.751,137.431,380.662,137.554,380.79,132.356,381.095,137.247,385.682,137.453,381.092,137.551,385.999,137.361,385.815,137.488,385.85,137.523
neck,355.435,177.822,370.704,177.854,380.586,177.892,380.805,177.743,380.949,172.992,380.928,177.759,381.089,177.89,385.861,177.834,385.764,177.868,385.761,177.813
RShoulder,330.01,173.029,340.064,177.754,340.293,177.717,340.524,172.913,345.382,172.811,345.538,172.971,350.42,177.763,350.571,172.981,350.436,172.996,350.472,172.873
RElbow,304.61,218.496,299.866,213.419,299.911,183.089,304.677,183.282,304.886,188.127,330.127,218.497,339.984,218.562,340.01,218.71,335.156,218.338,330.157,218.296
RWrist,309.844,233.81,304.945,183.273,299.577,147.582,299.71,142.736,309.848,152.604,319.919,198.385,335.115,218.69,335.162,193.284,340.377,198.224,335.178,183.199
LShoulder,386.202,177.886,401.074,177.97,411.301,178.018,416.37,177.841,421.165,177.801,416.328,177.993,421.149,178.06,421.298,178.081,421.236,178.088,421.209,178.079
LElbow,416.341,218.739,426.343,218.682,436.571,218.489,451.801,218.482,441.67,218.695,421.393,218.806,416.436,223.405,421.249,223.763,421.115,228.732,421.121,228.91
LWrist,416.196,254.118,416.376,177.913,426.344,223.521,421.396,218.794,421.243,182.948,411.211,162.768,386.114,183.034,386.205,213.574,380.839,228.842,385.774,233.822
MidHip,350.335,284.458,350.496,284.578,355.412,284.559,355.523,284.555,360.582,284.43,355.616,284.392,360.539,279.508,360.557,279.467,360.575,279.421,360.567,279.471
RHip,335.171,279.518,340.01,284.448,340.061,279.436,340.173,279.401,340.31,274.387,340.362,274.404,340.453,274.359,340.423,274.318,340.422,274.274,340.401,274.317
RKnee,305.024,375.729,309.998,375.677,309.95,375.574,309.973,365.727,309.974,360.612,309.969,360.55,309.985,355.604,309.945,360.59,310.051,360.609,309.962,365.599
RAnkle,299.836,472.181,304.636,472.197,304.555,472.221,299.768,472.203,299.571,472.189,299.44,472.173,294.691,451.928,294.69,472.183,294.705,472.188,294.729,472.195
LHip,380.8,284.575,380.889,289.566,381.035,289.585,381.077,289.619,385.778,289.515,381.03,289.474,381.026,289.493,381.064,289.439,381.108,289.442,385.673,289.509
LKnee,380.807,380.612,380.765,380.642,380.912,380.607,380.977,375.853,380.943,375.702,380.954,375.676,380.913,375.592,380.793,380.581,380.774,375.575,380.745,375.845
LAnkle,380.581,472.195,375.815,472.207,380.835,472.228,380.926,472.204,380.814,472.172,380.982,451.941,380.943,446.848,380.67,472.204,380.765,472.207,380.599,472.21
REye,350.571,127.359,365.618,132.352,375.572,132.433,375.76,122.237,380.698,127.371,380.798,132.321,380.802,137.115,381.081,132.294,380.898,132.415,380.953,132.445
LEye,375.793,132.226,380.871,132.357,381.086,137.174,385.765,122.308,386.045,127.324,386.152,132.392,386.107,137.194,391.142,132.313,386.238,132.424,390.93,137.161
REar,345.174,132.383,345.666,137.283,355.507,137.376,360.65,132.32,365.723,137.119,375.646,137.195,375.767,137.333,380.642,137.218,375.831,137.305,375.818,137.253
LEar,381.023,137.164,385.984,137.408,386.214,137.41,391.002,132.309,391.218,132.391,401.12,137.349,401.24,137.495,411.212,137.374,401.245,137.366,401.241,137.392
LBigToe,375.871,472.236,375.859,472.243,380.955,472.261,380.938,472.237,380.76,472.218,380.859,472.208,380.732,472.207,375.737,472.235,375.763,472.244,370.724,472.249
LSmallToe,385.914,472.231,385.932,472.238,391.014,472.259,391.001,472.252,386.097,472.225,390.906,472.226,386.098,472.225,385.903,472.255,385.969,472.265,385.834,472.262
LHeel,375.861,472.207,375.793,472.218,380.888,472.239,380.993,472.219,380.921,472.2,381.02,472.198,380.946,472.197,380.812,472.232,380.96,472.238,380.784,472.236
RBigToe,294.709,472.212,299.664,472.227,294.7,472.247,289.565,472.234,284.52,472.225,284.528,472.217,284.445,472.212,279.435,472.218,269.337,472.206,269.322,472.21
RSmallToe,294.493,472.221,294.618,472.232,294.543,472.249,284.439,472.221,274.37,472.197,274.292,472.188,269.335,472.179,269.333,472.186,264.305,472.16,264.315,472.169
RHeel,304.726,472.197,304.888,472.216,304.879,472.236,304.724,472.222,299.79,472.213,299.648,472.205,299.582,472.199,299.571,472.212,299.633,472.223,299.642,472.225
