,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,416.464,345.629,416.328,350.346,416.21,350.513,416.206,350.468,416.403,345.333,421.12,340.427,416.447,340.153,416.448,340.031,416.444,340.248,421.13,345.109
neck,406.145,375.855,406.146,380.586,406.182,380.863,406.158,380.812,401.244,375.638,406.168,360.649,401.073,350.559,396.16,350.351,396.058,360.518,396.073,370.769
RShoulder,380.761,370.654,380.761,370.678,380.69,375.786,380.704,375.819,380.747,365.616,380.775,355.419,380.602,345.525,380.596,345.367,375.858,350.477,380.625,360.514
RElbow,365.578,391.021,360.561,391.142,355.547,406.148,360.582,396.031,360.605,386.184,375.58,385.862,370.704,380.917,375.796,385.784,375.636,401.117,370.759,416.306
RWrist,401.081,391.179,390.93,401.047,386.125,401.169,386.039,401.121,396.116,391.046,411.241,380.893,401.194,380.77,416.281,380.608,411.22,375.745,416.289,385.97
LShoulder,426.733,380.785,426.694,380.854,431.514,381.083,431.501,380.98,426.711,380.626,426.67,370.789,426.557,365.595,426.36,360.518,426.374,370.783,421.615,375.873
LElbow,466.935,416.18,462.208,416.305,462.199,416.345,466.862,416.236,466.887,411.149,466.858,401.063,462.146,391.159,461.847,396.063,461.9,416.19,461.886,421.257
LWrist,426.698,406.13,426.689,411.236,431.647,416.262,426.476,411.193,426.659,401.09,431.63,385.997,431.64,385.79,431.711,381.053,436.61,385.704,441.659,386.18
MidHip,380.966,426.69,380.883,426.76,385.817,436.642,385.997,431.78,385.873,426.8,385.951,426.664,380.86,421.601,380.631,421.408,380.808,426.621,381.042,431.703
RHip,360.562,426.475,355.623,426.53,370.591,431.595,375.591,431.545,370.715,426.631,370.772,426.543,355.606,421.517,350.584,421.284,355.463,426.529,360.622,431.539
RKnee,355.542,396.062,360.536,411.232,355.457,411.247,350.454,401.149,350.599,391.171,355.44,391.071,365.644,390.967,375.761,396.127,385.881,416.322,396.079,421.363
RAnkle,345.51,472.252,345.622,472.262,350.381,472.273,345.482,472.267,350.474,472.252,355.646,472.252,360.625,472.236,365.608,472.235,375.841,472.26,365.697,472.264
LHip,396.086,431.714,396.007,436.637,411.326,472.176,416.288,472.167,406.199,431.816,406.304,431.627,395.996,426.387,390.902,421.598,391.055,426.817,396.091,431.83
LKnee,446.759,421.152,441.748,426.249,436.714,426.388,446.679,426.284,456.841,411.303,461.706,406.252,461.772,401.141,461.721,406.121,456.894,416.325,456.749,421.193
LAnkle,411.304,472.26,411.327,472.274,421.26,472.277,416.338,472.27,421.452,472.251,426.388,472.248,426.416,472.207,416.421,472.21,421.37,472.261,426.452,472.264
REye,411.283,345.207,406.303,345.267,406.127,345.434,406.126,345.404,411.24,340.36,411.34,339.991,411.346,330.227,411.353,330.044,411.324,335.077,411.327,340.077
LEye,421.495,345.336,421.411,345.424,421.334,345.529,421.296,345.49,421.413,340.455,421.487,340.104,421.5,335.16,421.5,335.012,421.49,335.25,421.48,340.192
REar,390.955,345.128,390.961,345.225,386.236,345.355,390.904,345.359,390.997,340.327,391.068,335.294,391.012,330.129,391.085,325.043,390.932,335.05,390.99,340.148
LEar,426.542,345.648,426.468,350.378,426.429,350.406,426.36,350.388,426.377,345.299,426.457,340.32,426.435,340.076,426.39,335.251,426.445,340.151,426.451,340.437
LBigToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.613,472.263,426.646,472.215,421.474,472.221,0.0,0.0,0.0,0.0
LSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.734,472.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHeel,406.159,472.243,0.0,0.0,416.265,472.261,411.233,472.256,421.363,472.257,421.637,472.262,421.648,472.263,0.0,0.0,421.232,472.258,426.447,472.237
RBigToe,345.336,472.259,345.348,472.273,345.251,472.296,340.483,472.279,345.527,472.264,350.595,472.271,0.0,0.0,365.62,472.276,370.715,472.319,350.61,472.327
RSmallToe,340.216,472.258,340.271,472.267,340.198,472.292,335.186,472.274,345.27,472.264,350.353,472.273,0.0,0.0,360.547,472.274,370.744,472.312,350.53,472.321
RHeel,345.273,472.245,345.402,472.251,0.0,0.0,345.287,472.259,0.0,0.0,355.597,472.243,365.628,472.236,365.631,472.237,375.833,472.254,0.0,0.0
