,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,375.811,309.785,380.71,330.164,380.689,340.513,380.697,345.152,380.687,340.519,380.855,339.993,380.797,320.051,380.892,304.993,381.028,304.622,381.07,304.681
neck,370.636,340.381,375.674,350.594,375.848,375.764,375.862,380.658,380.567,380.674,375.878,370.662,375.742,350.441,375.751,340.462,375.617,340.191,370.811,340.185
RShoulder,335.059,340.505,335.301,350.584,340.073,375.835,340.046,380.666,340.067,380.638,340.109,360.676,340.037,345.512,335.266,340.311,335.154,340.095,335.138,340.101
RElbow,319.959,416.188,309.856,426.387,310.019,431.558,305.116,436.642,309.758,426.801,304.717,421.409,309.78,396.018,309.782,385.922,310.052,380.957,309.994,380.955
RWrist,375.703,380.675,365.633,385.835,370.641,386.208,365.681,401.156,350.624,406.13,345.386,385.906,370.643,380.648,360.594,380.73,365.657,375.83,350.619,380.932
LShoulder,411.228,340.281,411.276,350.385,416.159,375.576,416.207,375.809,416.273,375.845,416.204,370.617,416.165,350.543,416.325,345.26,411.242,340.102,411.221,340.087
LElbow,456.815,406.116,456.857,416.334,456.969,421.615,456.795,426.509,456.918,426.478,456.859,421.516,451.814,421.217,456.722,421.313,436.566,381.027,436.642,380.848
LWrist,416.304,380.93,416.418,386.015,421.25,391.121,421.209,411.233,421.292,416.312,421.16,406.201,421.394,385.816,426.439,386.101,466.983,416.403,467.261,416.215
MidHip,365.624,472.182,375.745,472.217,375.778,472.245,375.671,472.257,375.776,472.253,370.675,472.228,360.646,431.801,365.678,431.689,370.61,426.675,370.726,426.533
RHip,340.095,472.166,340.345,472.219,345.215,472.249,340.401,472.256,345.243,472.249,340.228,472.212,340.157,431.622,340.229,426.81,340.33,426.66,340.474,426.568
RKnee,305.007,472.193,305.049,472.249,309.869,472.294,0.0,0.0,0.0,0.0,0.0,0.0,320.009,421.156,309.96,411.318,315.034,401.177,309.946,411.14
RAnkle,304.714,472.35,304.889,472.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.072,472.289,309.882,472.302,305.066,472.301,309.758,472.302
LHip,391.074,472.189,401.15,472.223,401.213,472.255,401.142,472.268,401.209,472.268,396.005,472.24,386.073,441.813,386.212,436.811,386.084,426.752,386.095,426.555
LKnee,421.53,472.187,426.6,472.143,436.622,472.197,431.572,472.22,431.61,472.228,426.746,472.159,431.615,426.608,436.595,426.418,426.606,421.425,426.616,421.587
LAnkle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.269,472.289,411.257,472.322,0.0,0.0,0.0,0.0
REye,365.6,304.641,370.746,314.911,370.714,340.008,370.761,340.086,370.778,340.027,375.824,325.058,375.729,309.83,375.811,299.954,380.615,299.543,380.656,299.648
LEye,380.987,304.62,385.736,314.989,385.754,340.008,385.761,340.099,385.746,340.066,385.887,330.082,385.807,309.978,385.929,304.566,386.043,299.581,386.052,299.657
REar,345.417,299.95,345.6,314.886,345.653,340.035,350.359,340.175,350.444,340.141,350.616,330.012,350.572,309.995,350.469,304.588,350.405,299.561,350.36,299.66
LEar,386.187,304.783,390.961,324.983,391.1,340.144,391.087,340.305,391.012,340.286,391.123,335.214,386.241,315.065,391.102,304.762,391.212,299.76,390.937,304.511
LBigToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHeel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBigToe,299.549,472.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.571,472.36,299.714,472.362,299.687,472.355,299.779,472.355
RSmallToe,284.503,472.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.661,472.352,0.0,0.0,0.0,0.0,0.0,0.0
RHeel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.709,472.295,0.0,0.0
