,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,370.738,107.108,370.788,107.064,370.717,107.169,370.68,107.192,370.7,107.141,370.75,107.088,370.63,107.004,375.581,107.035,375.573,107.083,375.593,107.055
neck,375.682,157.75,375.749,157.63,375.716,167.735,375.764,162.853,375.822,167.737,375.726,157.738,375.802,152.779,380.543,147.726,375.761,157.632,375.791,157.735
RShoulder,330.079,162.84,330.197,162.732,330.225,172.837,335.088,172.781,335.273,172.817,335.208,167.879,335.227,162.857,335.315,157.639,335.029,162.711,335.131,167.775
RElbow,294.691,218.657,294.465,223.491,299.678,218.669,299.91,218.586,304.946,218.339,305.018,223.505,304.604,213.497,299.867,208.484,299.519,218.446,299.62,218.709
RWrist,340.053,182.933,314.882,177.815,269.452,177.787,264.388,177.739,269.389,177.734,305.085,157.816,345.241,172.815,345.587,182.971,340.369,172.821,304.807,167.915
LShoulder,416.304,152.571,416.374,147.724,416.342,152.702,416.324,152.676,416.341,152.75,416.254,147.749,416.266,147.647,416.369,142.73,416.33,147.687,416.418,147.738
LElbow,466.966,142.281,467.027,142.37,467.066,142.398,467.096,142.471,467.137,142.438,466.894,142.393,466.963,137.581,466.985,142.307,466.959,142.289,467.145,142.383
LWrist,461.956,76.6485,461.98,81.6105,461.956,76.561,462.006,76.6414,462.012,76.6402,461.883,76.6416,461.927,76.5882,461.994,76.553,461.912,76.521,461.936,76.4745
MidHip,380.785,304.784,380.939,304.869,380.892,304.846,380.888,304.841,380.858,304.793,380.78,304.565,380.691,299.73,380.743,299.83,380.835,304.741,380.885,304.834
RHip,345.343,304.836,345.519,304.923,345.503,304.923,345.499,304.883,345.515,304.787,345.463,304.592,345.356,299.733,345.348,299.821,345.447,304.787,345.493,304.872
RKnee,350.57,431.573,355.446,431.692,355.464,431.621,350.584,431.615,350.471,426.624,350.412,426.384,350.353,421.418,350.35,426.278,350.529,431.499,350.636,431.628
RAnkle,355.41,472.325,355.477,472.329,355.471,472.321,350.681,472.322,350.663,472.314,350.629,472.312,355.489,472.311,350.621,472.312,350.496,472.319,350.643,472.322
LHip,411.296,304.737,416.212,304.826,416.137,304.779,416.147,304.787,411.328,304.78,411.203,299.933,406.235,299.769,411.214,299.852,411.336,304.706,416.152,304.8
LKnee,421.242,426.748,421.296,431.615,421.29,426.622,421.285,426.7,421.212,426.543,421.136,426.357,416.437,421.554,421.083,426.312,421.194,426.64,421.281,426.747
LAnkle,421.362,472.344,421.075,472.346,421.142,472.338,421.269,472.344,421.405,472.335,421.394,472.327,421.347,472.32,421.276,472.327,421.312,472.34,421.183,472.342
REye,350.608,102.032,355.454,102.002,355.404,102.067,350.634,102.082,350.612,102.059,350.644,102.026,350.505,101.967,355.501,102.047,355.474,102.012,355.55,102.006
LEye,380.658,102.003,380.713,101.962,380.698,102.039,380.662,102.064,380.672,102.012,380.684,101.963,380.566,101.888,380.674,101.917,380.717,101.971,380.75,101.933
REar,345.1,111.988,345.172,107.101,345.162,112.017,345.162,112.02,345.149,112.067,345.191,107.157,340.495,107.212,345.231,107.166,345.182,107.142,345.283,107.094
LEar,385.994,107.201,386.069,107.093,386.16,112.029,386.125,111.986,386.139,107.219,386.064,107.106,385.917,107.053,385.999,106.894,386.033,107.084,386.132,107.042
LBigToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHeel,421.648,472.367,421.409,472.372,421.422,472.366,421.528,472.37,421.576,472.359,421.531,472.352,421.475,472.346,421.388,472.352,421.523,472.365,421.525,472.368
RBigToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.476,472.359,345.377,472.363,345.361,472.366,345.372,472.364,0.0,0.0,0.0,0.0
RSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.352,472.354,340.325,472.355,340.366,472.357,0.0,0.0,0.0,0.0,0.0,0.0
RHeel,360.498,472.353,360.504,472.355,360.56,472.349,360.479,472.351,355.616,472.34,355.566,472.334,360.483,472.324,355.559,472.332,355.508,472.348,355.604,472.349
