,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,396.152,177.876,406.221,177.996,416.203,178.034,416.419,178.081,416.463,178.055,421.122,178.059,421.176,178.045,416.365,178.197,416.185,182.946,416.229,182.939
neck,396.184,218.627,406.127,218.54,406.282,218.615,411.363,218.725,416.171,218.728,416.22,223.4,416.217,223.438,411.318,223.519,411.207,223.539,406.199,223.628
RShoulder,375.727,223.505,380.539,223.461,380.647,223.531,380.737,223.588,380.764,223.56,380.714,223.622,380.697,223.674,380.615,223.749,380.58,223.801,375.822,223.879
RElbow,380.522,284.556,380.721,279.391,381.052,274.341,385.687,269.395,385.737,269.469,381.023,279.431,381.029,284.472,380.917,284.508,381.059,289.526,380.973,289.498
RWrist,401.181,254.084,416.2,248.925,421.251,238.852,421.23,233.856,421.206,233.85,421.2,249.064,421.237,249.068,416.382,249.005,421.59,258.957,421.587,258.936
LShoulder,426.666,218.286,431.532,213.561,431.513,218.29,431.792,218.444,436.587,218.484,436.759,218.575,436.78,218.61,436.634,218.664,436.593,218.687,431.639,218.736
LElbow,462.141,218.317,462.072,218.384,462.185,218.444,467.293,213.398,472.121,213.431,472.282,218.672,472.062,223.497,467.035,223.666,467.025,223.803,466.891,223.626
LWrist,461.99,152.781,462.081,172.798,462.132,167.872,467.16,157.775,467.258,162.803,467.353,172.853,472.188,172.888,472.291,178.186,472.16,188.097,472.13,193.178
MidHip,421.386,335.146,421.447,335.122,421.575,335.205,421.591,335.04,421.676,335.114,421.667,335.19,421.679,335.251,421.607,335.293,421.635,335.307,421.613,335.283
RHip,396.0,335.291,396.011,335.24,401.089,339.996,396.197,335.18,401.169,335.251,401.147,339.982,401.207,340.041,401.103,340.07,401.197,340.102,401.184,340.1
RKnee,380.671,421.255,380.772,421.207,380.829,421.305,380.876,416.329,380.85,421.175,380.871,416.44,380.815,421.294,380.793,421.523,380.772,421.544,380.783,421.376
RAnkle,345.621,472.296,345.644,472.297,345.595,472.3,345.668,472.286,345.563,472.295,345.622,472.292,350.359,472.295,345.645,472.303,350.369,472.305,350.427,472.295
LHip,436.59,335.052,436.741,335.066,441.726,335.141,446.729,330.172,446.857,335.044,446.861,335.115,446.829,335.167,446.683,335.203,441.801,335.216,441.766,335.149
LKnee,446.748,426.337,446.743,426.354,456.729,426.341,457.022,421.231,461.659,421.354,461.689,421.242,461.66,421.271,457.02,421.39,457.021,421.545,461.702,421.303
LAnkle,436.63,472.293,436.632,472.303,441.685,472.303,446.72,472.275,441.762,472.288,441.772,472.28,441.802,472.283,441.774,472.293,446.791,472.294,446.751,472.281
REye,386.197,172.842,391.066,172.971,396.166,172.99,406.178,177.7,406.228,172.996,406.27,172.959,411.193,172.927,401.235,177.763,396.162,177.964,396.18,177.945
LEye,411.221,172.801,416.294,172.943,421.263,172.885,421.441,172.952,421.492,172.922,421.542,172.942,421.595,172.925,421.431,177.738,421.296,177.928,421.323,177.907
REar,381.033,178.048,385.699,178.066,385.796,178.048,386.025,178.136,386.077,178.109,386.104,178.073,386.133,178.124,385.995,178.196,385.886,182.943,385.834,182.939
LEar,421.314,177.838,421.504,177.966,426.277,177.943,426.516,178.101,426.576,178.095,426.624,178.148,426.655,178.191,426.504,178.188,426.408,182.905,426.4,182.934
LBigToe,436.678,472.356,436.579,472.362,0.0,0.0,436.783,472.33,441.777,472.335,441.748,472.325,441.818,472.325,0.0,0.0,0.0,0.0,0.0,0.0
LSmallToe,0.0,0.0,436.797,472.36,0.0,0.0,451.857,472.311,451.811,472.325,451.898,472.311,456.826,472.306,0.0,0.0,0.0,0.0,0.0,0.0
LHeel,436.563,472.298,436.59,472.312,441.643,472.322,441.741,472.278,441.664,472.292,441.668,472.281,441.731,472.286,441.753,472.301,446.763,472.305,446.696,472.285
RBigToe,345.465,472.375,345.434,472.375,345.447,472.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.382,472.369,0.0,0.0
RSmallToe,340.337,472.37,340.356,472.37,340.322,472.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.335,472.376,0.0,0.0
RHeel,350.465,472.261,350.48,472.264,350.391,472.271,350.468,472.252,350.386,472.265,350.448,472.26,350.518,472.263,350.466,472.274,350.521,472.272,350.571,472.259
