,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,345.588,172.762,350.433,167.928,350.558,157.817,360.618,162.718,370.807,172.792,375.808,172.989,380.831,173.029,386.205,172.755,396.109,162.711,416.167,162.775
neck,345.52,213.33,350.397,208.308,350.634,198.335,355.618,198.26,375.704,208.359,380.638,213.407,380.928,213.434,386.165,208.446,396.071,198.372,416.332,198.283
RShoulder,319.983,218.26,330.103,213.429,330.107,208.361,335.109,203.311,340.297,213.407,345.205,213.582,345.588,213.552,360.596,213.386,370.69,198.331,380.839,198.328
RElbow,304.792,259.118,309.81,259.231,309.888,259.035,309.833,254.057,310.048,259.062,330.046,259.06,340.086,259.115,340.428,258.918,345.189,253.951,345.461,243.861
RWrist,335.242,233.804,340.476,223.848,345.289,233.701,345.185,238.932,345.176,238.944,355.512,223.902,350.639,223.895,355.459,233.832,375.592,233.803,375.873,228.738
LShoulder,380.977,208.5,385.763,203.313,386.014,193.275,386.169,193.292,396.097,203.315,406.149,213.411,416.143,213.504,421.654,208.457,431.477,198.358,436.747,198.235
LElbow,411.363,223.549,416.256,223.622,421.435,218.605,421.543,223.554,426.293,228.835,426.456,238.787,426.723,253.888,446.82,233.729,451.837,248.932,461.912,223.732
LWrist,426.354,178.154,426.54,183.279,431.596,183.188,436.666,183.036,431.526,213.482,456.726,193.196,461.721,208.427,466.914,188.203,466.941,193.247,477.262,188.245
MidHip,350.356,309.873,355.404,304.982,360.509,304.957,360.642,304.844,370.782,305.023,380.577,309.908,380.842,309.857,386.09,305.062,391.042,305.065,411.19,304.978
RHip,335.217,309.984,340.169,309.81,340.348,309.786,340.471,304.953,345.287,309.787,345.6,309.915,355.414,309.832,370.775,305.029,375.87,305.035,385.681,304.994
RKnee,340.219,406.128,340.346,401.117,345.168,401.206,345.213,396.132,345.126,401.142,345.131,406.269,345.458,406.137,350.37,396.127,360.483,401.079,375.654,390.966
RAnkle,345.38,472.254,345.491,472.25,345.588,472.246,345.5,472.25,345.404,472.252,345.375,472.256,345.588,472.269,345.434,472.242,345.504,472.243,350.523,472.252
LHip,380.752,305.092,380.895,304.843,385.688,304.823,385.732,304.755,386.066,304.945,391.017,309.921,395.996,309.888,421.132,305.042,421.404,305.07,426.582,304.999
LKnee,386.184,391.036,390.968,386.231,391.167,390.953,391.162,386.075,401.154,390.983,406.25,396.12,421.109,396.194,421.666,391.125,426.514,396.1,426.715,391.161
LAnkle,411.334,472.253,421.181,472.255,421.42,472.261,426.303,472.255,426.585,472.271,426.508,472.278,426.678,472.272,431.674,472.25,431.685,472.26,431.672,472.265
REye,345.187,162.724,345.322,157.813,345.424,152.573,350.452,152.601,360.508,162.748,365.729,167.834,375.788,167.838,385.775,162.691,386.178,152.585,401.13,152.635
LEye,355.425,162.687,360.53,157.707,365.546,147.735,375.616,152.566,380.661,162.77,380.859,167.842,385.761,167.793,396.109,157.757,411.224,147.754,421.272,152.668
REar,340.065,172.842,340.21,172.809,340.304,162.814,345.215,162.719,345.614,172.837,350.564,177.742,365.572,173.022,380.605,172.791,381.042,162.709,386.21,167.755
LEar,370.802,172.811,375.792,167.823,380.587,162.794,380.827,167.798,385.712,172.772,386.002,177.727,390.984,173.019,416.248,167.905,421.304,162.743,426.409,162.832
LBigToe,411.227,472.269,421.321,472.256,421.558,472.259,426.358,472.262,426.549,472.285,426.392,472.288,426.497,472.286,0.0,0.0,431.533,472.282,431.533,472.283
LSmallToe,426.34,472.279,426.625,472.274,426.731,472.265,431.693,472.273,436.716,472.284,431.685,472.283,431.706,472.28,0.0,0.0,451.841,472.282,456.816,472.292
LHeel,411.332,472.263,421.296,472.267,421.516,472.269,426.387,472.261,426.629,472.28,426.506,472.279,426.611,472.274,431.677,472.26,431.654,472.264,431.609,472.264
RBigToe,345.34,472.3,345.449,472.3,345.586,472.288,345.489,472.283,345.451,472.299,345.501,472.301,345.479,472.32,345.409,472.278,345.554,472.285,350.445,472.303
RSmallToe,340.319,472.306,345.248,472.306,345.372,472.3,345.327,472.298,345.271,472.313,345.238,472.314,345.329,472.326,340.448,472.292,345.29,472.3,345.446,472.305
RHeel,345.463,472.252,350.392,472.253,350.463,472.25,350.463,472.253,350.435,472.251,350.464,472.244,355.507,472.254,350.418,472.243,350.462,472.238,360.537,472.244
