,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,416.138,183.026,416.178,183.033,411.371,182.992,401.207,183.059,406.136,182.999,401.096,183.121,396.075,183.132,391.228,183.031,385.926,178.047,380.943,178.085
neck,401.198,223.682,401.189,223.69,401.144,223.666,396.171,223.73,396.098,223.701,396.073,223.768,391.121,223.766,390.983,223.719,385.777,218.718,380.925,218.431
RShoulder,375.75,223.959,375.77,223.918,375.731,223.938,375.612,228.668,375.573,228.645,370.804,228.715,365.56,228.656,365.541,223.923,350.5,223.523,345.513,218.749
RElbow,380.855,289.503,380.863,289.556,380.786,289.64,380.945,289.643,380.91,294.466,380.911,289.571,380.953,284.454,365.602,284.523,375.617,269.418,355.576,269.21
RWrist,421.451,258.985,421.583,259.284,421.34,258.991,421.533,258.968,421.221,254.14,421.367,253.902,426.523,254.059,391.143,264.015,411.297,258.881,386.151,259.21
LShoulder,431.511,218.803,431.556,223.435,431.468,218.804,426.71,223.435,426.678,218.798,426.647,223.496,426.506,223.506,426.398,223.502,416.394,218.471,416.165,213.598
LElbow,462.044,233.739,456.885,259.032,462.13,238.888,462.202,228.781,466.972,223.867,466.87,228.83,461.912,243.889,461.867,228.794,456.801,233.743,451.738,223.822
LWrist,467.199,198.322,446.75,233.851,467.186,188.257,472.13,183.301,472.193,182.975,472.11,183.212,467.086,213.374,467.057,183.336,462.186,183.286,461.88,182.995
MidHip,421.569,335.278,421.514,339.988,421.509,335.223,421.443,339.994,421.375,340.08,421.375,340.134,421.294,340.16,421.13,340.099,411.16,335.187,391.225,325.063
RHip,401.105,340.107,401.067,340.125,401.088,340.059,396.146,340.169,396.017,340.253,396.043,340.28,391.139,340.283,390.919,340.224,385.882,335.282,380.882,330.097
RKnee,380.763,421.442,380.747,421.349,380.797,421.222,380.733,421.416,380.737,421.47,380.73,421.549,380.713,421.474,380.701,421.423,380.642,421.277,365.74,416.338
RAnkle,350.342,472.298,350.458,472.291,350.419,472.289,345.678,472.3,345.574,472.306,345.63,472.306,345.538,472.304,345.543,472.289,340.417,472.274,340.012,472.256
LHip,441.684,335.119,436.692,335.209,436.67,335.057,436.574,335.166,431.739,335.261,431.701,340.022,431.625,340.044,426.81,335.301,426.379,335.071,421.441,320.006
LKnee,461.68,421.253,461.744,416.426,461.754,416.248,461.712,421.192,457.024,421.489,456.924,426.345,456.99,421.512,456.731,421.407,441.752,421.293,431.649,406.289
LAnkle,441.818,472.285,446.721,472.275,441.798,472.278,441.736,472.282,446.792,472.289,446.855,472.299,441.81,472.293,441.685,472.282,431.77,472.271,426.636,472.276
REye,396.047,178.03,396.069,178.025,396.036,178.015,390.924,178.126,390.922,178.081,386.207,178.203,386.08,178.23,386.031,178.125,380.981,173.008,380.586,177.684
LEye,421.225,177.975,421.254,177.979,421.188,177.947,416.186,178.084,416.199,178.002,411.34,178.14,411.14,178.134,406.205,178.064,390.987,172.935,385.854,172.98
REar,385.733,183.051,385.742,183.044,385.756,183.023,380.987,183.157,380.889,183.141,380.861,183.225,380.68,183.238,380.661,183.134,365.73,178.201,355.552,178.083
LEar,426.311,182.935,426.341,182.93,421.656,182.896,421.471,183.047,421.408,182.969,421.387,183.077,421.181,183.031,416.367,183.012,406.138,178.116,390.978,178.092
LBigToe,441.821,472.326,446.742,472.307,441.825,472.31,441.804,472.329,0.0,0.0,446.851,472.36,0.0,0.0,441.694,472.332,436.767,472.335,426.7,472.318
LSmallToe,456.862,472.307,456.952,472.294,456.921,472.29,451.922,472.314,0.0,0.0,451.858,472.356,0.0,0.0,451.808,472.32,0.0,0.0,0.0,0.0
LHeel,441.762,472.286,446.691,472.279,441.699,472.277,441.67,472.282,446.749,472.299,446.809,472.319,441.734,472.302,441.646,472.278,431.604,472.264,426.478,472.276
RBigToe,350.509,472.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.493,472.358,0.0,0.0,0.0,0.0,340.344,472.349,340.131,472.307
RSmallToe,345.343,472.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.335,472.38,0.0,0.0,0.0,0.0,340.217,472.351,340.118,472.33
RHeel,350.514,472.266,350.597,472.255,350.566,472.253,350.512,472.266,350.418,472.276,350.443,472.277,350.368,472.273,0.0,0.0,340.449,472.236,335.264,472.222
