,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,299.814,264.313,299.829,259.384,299.73,263.99,299.836,264.388,299.855,289.517,299.76,299.855,299.726,299.954,299.669,299.81,299.752,279.358,299.735,263.968
neck,320.085,299.652,325.119,299.439,325.148,299.516,330.008,299.608,320.08,309.909,330.201,335.292,330.045,340.152,330.135,340.073,320.096,309.874,320.03,299.494
RShoulder,274.487,294.608,284.47,289.566,289.459,289.575,289.569,294.614,274.474,304.971,294.518,335.151,289.649,335.241,294.469,340.039,279.345,304.97,284.433,294.572
RElbow,218.53,304.76,218.627,299.756,223.76,299.742,233.738,299.866,213.482,314.851,264.011,345.405,223.628,335.105,264.374,360.631,223.565,314.964,223.581,299.642
RWrist,137.555,309.891,147.649,304.609,172.961,304.635,203.349,304.636,137.362,304.923,0.0,0.0,137.49,314.893,264.452,472.189,152.721,305.03,172.925,294.69
LShoulder,370.569,304.585,375.593,299.748,370.772,299.926,370.57,304.58,360.621,315.057,365.55,340.083,365.557,345.149,360.589,340.063,360.515,314.979,360.603,299.762
LElbow,385.902,375.605,381.066,370.632,380.946,370.745,380.608,375.726,375.836,380.921,380.916,391.004,385.694,396.213,380.894,385.96,380.82,380.616,380.736,350.486
LWrist,335.214,345.649,335.061,340.461,335.138,340.23,330.191,340.059,319.957,340.497,325.042,350.611,320.067,360.507,325.002,350.61,314.992,345.19,315.054,335.155
MidHip,330.04,396.113,330.137,390.973,314.947,386.154,325.126,386.03,314.875,431.77,330.129,431.823,314.992,472.165,324.994,472.156,314.97,431.75,314.963,396.155
RHip,299.624,391.091,299.684,386.043,294.596,385.883,299.682,385.788,289.63,426.747,299.77,431.642,299.507,431.727,0.0,0.0,294.543,426.767,294.574,391.2
RKnee,254.099,385.798,253.947,385.934,249.032,385.821,248.997,386.084,238.928,386.083,248.958,390.938,248.948,385.984,0.0,0.0,238.897,386.113,249.031,385.748
RAnkle,264.298,472.275,264.365,472.277,264.245,472.265,264.073,472.255,279.418,472.302,274.479,472.289,264.405,472.279,0.0,0.0,289.625,472.289,269.231,472.267
LHip,350.374,401.159,350.408,391.16,345.279,391.04,345.521,386.22,345.405,441.802,350.381,436.738,345.354,472.184,345.593,472.157,345.415,436.807,345.339,401.105
LKnee,386.142,381.043,385.761,380.977,386.128,381.064,386.042,385.776,396.017,381.0,396.084,385.944,396.145,386.107,391.187,385.7,390.912,380.735,381.02,380.909
LAnkle,375.61,472.286,375.792,472.278,375.662,472.267,375.653,472.263,370.663,472.314,375.753,472.288,370.78,472.287,375.704,472.295,370.674,472.294,375.605,472.296
REye,299.54,259.147,299.586,254.142,299.548,258.828,299.598,259.232,299.608,269.296,299.501,294.54,299.505,294.676,299.448,294.49,299.507,264.3,299.481,254.168
LEye,304.999,259.355,305.035,258.926,304.935,258.986,305.012,263.977,305.101,274.293,304.957,294.712,304.932,299.481,304.871,294.648,304.992,264.525,304.91,258.981
REar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEar,340.393,264.206,340.52,259.211,340.443,259.326,340.447,264.299,340.389,279.521,340.382,299.691,340.388,299.83,340.314,299.687,340.24,274.453,340.326,259.367
LBigToe,0.0,0.0,0.0,0.0,380.673,472.287,375.804,472.298,375.705,472.348,381.108,472.336,0.0,0.0,381.072,472.341,370.713,472.336,375.77,472.305
LSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,375.771,472.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.844,472.309
LHeel,375.585,472.318,375.839,472.316,375.652,472.303,375.651,472.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.633,472.324
RBigToe,0.0,0.0,0.0,0.0,0.0,0.0,258.935,472.286,259.255,472.351,264.109,472.346,259.054,472.323,0.0,0.0,269.363,472.336,0.0,0.0
RSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.234,472.329,0.0,0.0
RHeel,264.264,472.26,269.248,472.265,264.363,472.259,264.286,472.25,0.0,0.0,0.0,0.0,264.096,472.27,0.0,0.0,0.0,0.0,0.0,0.0
