,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,259.059,172.835,248.92,177.761,248.977,177.769,233.902,177.695,243.928,177.772,249.042,177.938,253.878,177.848,258.837,177.701,259.107,177.77,269.342,172.988
neck,259.127,213.333,258.857,213.444,253.873,218.316,253.909,213.582,248.88,218.402,253.882,218.288,254.062,218.268,259.155,218.279,259.362,218.345,264.485,218.311
RShoulder,223.516,213.405,218.561,213.538,218.266,218.426,218.415,218.325,218.262,218.532,218.384,218.309,218.491,218.315,223.609,218.343,223.858,218.391,238.909,218.35
RElbow,188.277,258.942,178.126,249.081,177.821,259.024,198.229,264.084,182.891,264.059,178.08,254.133,177.97,258.89,183.197,253.871,193.314,258.968,218.722,259.36
RWrist,213.555,233.716,193.272,269.372,198.226,264.273,203.304,259.235,188.332,253.924,203.408,274.464,218.519,269.433,223.471,223.443,208.314,223.663,223.674,249.024
LShoulder,294.606,213.296,289.616,208.494,284.498,213.518,274.456,213.502,274.274,218.28,279.486,213.509,289.495,213.458,294.531,218.284,299.519,218.381,304.576,218.37
LElbow,309.894,254.056,309.806,243.928,309.857,259.089,304.959,259.217,304.574,259.231,304.563,254.003,309.942,258.85,309.826,259.258,315.026,259.186,335.0,259.311
LWrist,264.506,223.709,269.419,233.737,264.197,253.961,264.038,258.835,269.391,228.799,274.295,233.876,279.435,253.892,294.467,264.369,299.901,274.33,319.996,259.329
MidHip,264.103,305.029,263.993,309.815,259.358,309.907,259.294,310.028,259.105,314.946,259.059,309.979,259.141,309.851,264.065,309.985,264.294,310.01,269.224,310.009
RHip,238.814,304.97,233.766,309.801,228.914,309.908,228.871,310.008,223.896,315.007,223.771,309.971,223.898,309.857,238.784,309.964,243.998,309.983,253.951,310.004
RKnee,183.304,380.84,183.115,381.019,182.967,385.839,182.862,385.827,178.226,385.991,178.213,386.044,182.864,386.131,182.921,385.946,183.067,381.034,188.055,380.943
RAnkle,188.27,472.197,178.204,472.231,193.141,472.25,188.255,472.243,193.187,472.252,188.333,472.258,188.156,472.258,188.288,472.226,188.291,472.217,188.231,472.195
LHip,294.497,304.986,289.622,309.771,289.476,309.84,284.46,309.95,279.393,310.022,279.441,309.909,284.472,309.824,289.613,309.919,294.714,309.991,299.705,309.945
LKnee,335.185,380.908,335.133,385.684,334.995,380.806,330.196,380.905,330.147,380.938,335.092,380.775,335.201,381.039,340.192,380.88,340.255,385.968,345.109,385.761
LAnkle,345.493,472.223,345.44,472.236,345.38,472.234,345.463,472.236,345.51,472.233,345.34,472.244,345.28,472.243,345.196,472.222,345.413,472.232,340.453,472.236
REye,253.975,162.697,233.757,167.91,233.74,167.866,228.609,167.819,228.782,167.894,233.846,172.852,238.796,172.744,244.0,167.779,253.997,167.82,264.194,162.867
LEye,264.021,162.745,258.894,167.91,258.914,167.924,249.07,167.84,254.054,167.926,258.946,172.859,259.011,172.753,259.245,167.823,264.059,167.819,279.445,167.756
REar,233.824,172.824,223.894,177.721,223.652,177.799,223.502,177.727,223.547,177.819,223.761,177.861,223.842,177.816,228.868,177.742,233.86,177.723,259.045,172.969
LEar,269.317,172.786,264.218,172.974,264.173,177.771,259.361,173.016,263.972,177.722,264.168,177.818,264.256,177.762,264.465,177.705,269.358,172.96,294.658,172.945
LBigToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.173,472.231
LSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.474,472.253
LHeel,345.487,472.238,345.419,472.246,345.384,472.252,345.479,472.249,345.534,472.249,345.317,472.26,345.245,472.254,345.137,472.234,345.356,472.241,340.318,472.248
RBigToe,183.084,472.238,172.862,472.255,183.089,472.294,183.087,472.288,183.218,472.298,188.127,472.304,183.085,472.291,183.099,472.283,183.024,472.262,183.041,472.239
RSmallToe,182.966,472.243,167.854,472.281,183.183,472.314,183.123,472.308,0.0,0.0,188.189,472.324,183.007,472.319,183.147,472.298,183.073,472.283,183.01,472.252
RHeel,198.337,472.207,183.059,472.238,203.306,472.243,198.28,472.239,203.296,472.242,198.359,472.243,193.3,472.244,198.343,472.216,203.317,472.219,198.258,472.203
