,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,385.763,137.464,381.112,137.456,381.106,137.527,380.899,142.323,380.818,142.279,375.644,137.528,360.627,137.461,345.549,137.355,345.16,137.324,340.253,137.308
neck,381.095,177.715,380.974,177.711,380.996,177.803,380.859,178.081,380.623,178.035,365.535,177.838,350.513,177.752,340.52,177.706,340.271,172.984,335.197,177.731
RShoulder,355.502,177.874,350.595,177.815,350.55,177.984,350.405,182.855,345.426,182.916,340.215,178.042,335.007,177.923,314.977,177.87,309.797,177.781,304.758,177.713
RElbow,340.461,203.369,340.043,172.964,345.234,213.304,345.205,213.449,345.351,218.634,330.212,208.406,304.595,213.341,309.905,208.395,299.929,213.373,330.213,188.144
RWrist,330.187,178.201,340.058,132.341,360.641,167.779,355.594,172.9,375.737,183.185,375.656,182.919,340.227,188.251,335.19,188.284,309.995,162.768,330.224,142.528
LShoulder,416.364,177.688,411.28,177.697,411.19,177.72,406.124,177.912,396.065,177.723,386.0,172.921,385.834,172.939,370.708,172.983,365.644,172.871,350.389,177.797
LElbow,441.749,132.392,436.76,137.294,436.615,137.177,436.559,137.195,431.749,137.19,431.475,137.43,426.713,137.533,416.371,142.417,411.213,142.642,406.161,147.588
LWrist,426.655,91.8034,426.627,96.5793,426.286,91.7949,421.51,91.8929,426.32,96.7016,426.48,96.7014,426.442,96.754,421.634,101.827,421.344,101.893,416.314,101.891
MidHip,380.866,279.448,380.813,284.417,380.828,289.472,380.74,289.639,380.677,294.498,375.681,279.518,360.538,279.394,345.615,284.431,345.237,279.345,340.195,284.565
RHip,355.5,279.432,355.503,284.426,355.494,289.481,355.431,289.595,350.568,294.517,345.491,284.42,340.408,279.463,335.273,284.505,325.129,274.494,309.904,289.489
RKnee,345.609,375.627,345.366,375.615,340.4,375.872,340.279,375.676,340.134,375.859,340.055,375.625,330.217,375.612,309.814,380.997,304.966,375.812,304.61,380.952
RAnkle,345.411,472.199,340.456,472.203,340.134,472.202,330.179,472.171,314.844,472.201,309.892,472.193,309.847,472.19,304.792,472.21,304.87,472.2,299.916,472.218
LHip,396.074,279.502,391.137,284.485,396.015,289.522,391.057,294.493,391.001,294.517,386.091,279.435,385.751,274.418,380.579,279.455,370.763,274.442,355.429,284.435
LKnee,396.021,375.767,391.16,375.76,391.189,380.754,391.18,380.797,391.163,380.92,391.088,375.65,386.223,375.597,385.886,380.617,380.933,375.57,380.786,375.687
LAnkle,390.958,472.203,386.175,472.213,396.092,472.219,396.107,472.212,391.129,472.23,396.102,472.182,396.137,472.221,396.103,472.22,386.179,451.929,386.011,472.188
REye,380.8,137.131,380.706,137.141,380.629,137.197,375.681,137.46,375.616,137.494,355.588,137.276,345.661,137.184,345.113,132.416,340.128,132.352,335.116,132.301
LEye,386.194,132.407,386.049,132.381,385.97,137.163,385.721,137.353,380.998,137.348,375.754,137.239,370.558,137.158,350.542,132.324,345.402,132.237,340.513,132.323
REar,370.597,137.563,365.558,137.637,360.648,142.299,355.488,142.574,350.381,142.615,345.243,142.335,340.393,137.667,335.04,137.567,320.002,137.53,309.836,137.527
LEar,401.123,137.493,396.077,137.488,391.101,137.633,390.906,142.472,386.087,142.312,380.647,137.379,370.817,137.452,365.685,137.289,350.528,137.291,345.638,137.379
LBigToe,386.173,472.237,386.042,472.245,391.025,472.263,390.972,472.256,390.926,472.264,0.0,0.0,0.0,0.0,0.0,0.0,390.952,472.21,386.098,472.222
LSmallToe,411.305,472.236,411.259,472.245,416.432,472.264,416.427,472.263,416.362,472.27,0.0,0.0,0.0,0.0,0.0,0.0,416.238,472.22,406.21,472.234
LHeel,386.054,472.215,386.0,472.219,396.072,472.221,396.073,472.213,391.024,472.233,391.095,472.194,396.108,472.239,396.046,472.237,386.122,472.192,386.026,472.21
RBigToe,340.23,472.234,335.144,472.23,335.148,472.237,325.038,472.22,314.971,472.242,0.0,0.0,304.95,472.224,304.801,472.23,304.755,472.231,299.754,472.246
RSmallToe,335.179,472.229,325.093,472.225,325.083,472.231,309.892,472.197,304.788,472.227,0.0,0.0,304.679,472.226,299.748,472.249,299.733,472.237,294.69,472.257
RHeel,345.549,472.23,345.277,472.231,340.332,472.222,335.194,472.198,0.0,0.0,0.0,0.0,319.926,472.212,309.836,472.216,309.911,472.214,304.85,472.226
