,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,421.409,132.325,421.242,127.359,416.366,117.085,416.318,122.223,396.22,132.189,390.93,132.333,380.847,137.523,365.551,142.302,350.428,137.423,340.524,137.328
neck,421.186,173.035,421.128,172.787,411.196,152.752,401.114,162.823,390.914,172.735,380.94,177.792,375.798,178.177,350.472,178.225,345.272,178.162,340.079,178.029
RShoulder,381.117,173.008,381.011,167.916,375.85,147.65,375.707,157.663,360.556,172.778,345.668,177.819,340.428,178.144,330.028,182.846,309.914,178.23,304.692,178.161
RElbow,345.154,188.137,340.24,183.32,335.086,183.295,340.137,188.272,340.304,213.367,340.415,213.512,310.013,188.259,304.694,223.835,299.624,223.774,289.523,223.464
RWrist,380.6,182.908,0.0,0.0,350.524,178.026,340.425,177.866,325.12,177.903,325.159,182.969,304.918,177.829,335.242,223.666,340.066,223.43,330.071,208.401
LShoulder,441.754,177.718,441.733,172.897,436.635,162.728,431.535,167.865,426.422,172.82,411.343,177.762,401.171,178.148,385.857,178.136,380.756,178.028,360.605,177.892
LElbow,482.352,142.52,477.302,142.642,467.284,142.677,467.108,142.649,462.089,147.488,451.809,157.813,441.82,157.746,421.631,172.99,416.431,173.016,411.281,167.733
LWrist,456.959,102.126,461.766,102.078,461.84,101.959,456.905,101.993,441.779,106.92,426.719,107.006,421.244,111.992,416.162,117.231,391.189,127.197,386.038,112.156
MidHip,406.277,289.519,401.153,274.408,386.239,274.301,386.073,279.37,385.93,284.402,380.708,294.523,375.621,299.474,350.523,299.531,345.219,294.597,340.139,294.549
RHip,381.007,284.531,380.893,274.308,375.595,269.415,370.627,274.41,365.56,279.478,350.497,294.487,345.262,294.715,340.016,299.583,320.058,294.678,309.813,294.624
RKnee,350.482,380.661,345.658,365.7,340.456,365.619,340.32,375.675,340.294,375.814,340.021,380.635,330.14,380.986,309.984,391.14,304.654,386.017,299.791,386.074
RAnkle,340.418,472.236,340.161,472.192,310.075,472.199,309.853,472.208,314.861,472.216,304.904,472.175,304.962,472.192,304.634,472.227,299.823,472.205,299.564,472.199
LHip,426.555,289.624,426.372,274.426,421.398,269.487,421.226,279.345,416.439,284.413,391.099,294.529,386.142,299.496,380.885,299.499,370.786,294.55,350.623,294.458
LKnee,431.616,381.064,426.658,370.71,426.624,375.668,426.419,375.794,421.53,375.822,416.457,380.865,411.336,380.975,401.077,385.772,386.036,380.7,385.833,380.569
LAnkle,431.653,472.238,431.638,446.838,436.716,472.186,436.556,472.181,426.814,446.853,426.773,472.203,431.489,472.201,431.732,472.25,426.551,472.212,421.614,472.197
REye,421.129,122.178,416.297,117.094,411.209,106.95,406.289,107.173,390.935,117.12,385.826,122.22,375.855,137.135,350.51,137.383,345.338,132.365,340.222,132.271
LEye,426.384,127.166,426.257,122.119,421.515,107.151,421.446,112.114,416.225,117.149,401.102,122.279,385.838,137.216,375.651,137.363,360.634,132.388,345.536,132.319
REar,396.182,132.421,396.009,132.232,391.052,112.137,386.144,122.222,380.953,127.345,375.687,132.466,350.659,137.614,345.123,142.294,339.995,137.589,320.103,137.486
LEar,426.83,137.33,426.813,132.454,426.578,122.141,426.379,132.156,421.29,132.257,411.163,137.164,391.0,142.412,380.88,142.319,370.772,137.547,350.562,137.67
LBigToe,0.0,0.0,431.585,472.202,0.0,0.0,0.0,0.0,426.726,472.195,426.57,472.211,0.0,0.0,0.0,0.0,426.394,472.233,421.353,472.207
LSmallToe,0.0,0.0,456.925,472.21,0.0,0.0,0.0,0.0,446.749,472.212,441.751,472.235,0.0,0.0,0.0,0.0,446.798,472.257,436.592,472.247
LHeel,431.553,472.247,431.547,472.184,436.66,472.206,0.0,0.0,426.741,472.184,0.0,0.0,431.558,472.217,436.622,472.255,426.597,472.237,426.333,472.229
RBigToe,340.16,472.248,330.207,472.221,304.958,472.246,304.884,472.243,309.843,472.251,304.869,472.208,304.934,472.231,304.735,472.26,0.0,0.0,299.602,472.246
RSmallToe,335.188,472.263,325.083,472.218,304.669,472.228,299.718,472.239,304.684,472.243,299.665,472.225,299.707,472.238,299.695,472.281,0.0,0.0,289.53,472.253
RHeel,345.357,472.242,345.205,472.21,320.076,472.217,314.927,472.217,320.025,472.223,0.0,0.0,309.938,472.201,304.815,472.225,304.758,472.213,299.802,472.206
