,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,223.845,274.37,233.7,269.26,238.78,259.312,243.888,254.063,254.124,258.83,258.901,259.073,259.142,259.369,259.327,263.976,269.198,259.367,289.556,259.088
neck,223.459,315.007,223.581,305.062,223.747,299.766,228.852,299.642,233.87,299.704,248.918,304.723,253.9,305.041,258.913,309.92,263.979,309.943,269.346,304.957
RShoulder,177.996,310.059,178.184,304.797,183.139,299.599,188.078,294.7,188.163,294.628,193.344,299.874,203.254,304.757,213.349,304.932,218.407,304.723,223.713,299.821
RElbow,137.336,375.657,137.24,350.423,137.44,340.106,137.342,335.195,137.204,339.992,137.332,345.438,137.31,350.632,137.657,360.535,147.539,345.657,157.658,340.526
RWrist,178.117,380.71,183.307,375.823,183.321,375.579,183.168,375.754,178.111,386.082,152.629,421.335,147.482,436.624,147.504,431.708,167.931,426.646,177.958,421.293
LShoulder,264.248,314.981,264.417,309.887,264.333,299.893,274.351,299.818,284.424,299.928,294.675,309.805,299.57,310.032,304.594,319.92,309.808,325.042,325.14,325.001
LElbow,269.291,380.66,294.588,360.527,304.651,340.458,314.963,345.304,335.05,360.48,335.054,360.501,340.342,380.939,340.419,386.03,345.292,396.047,345.395,396.097
LWrist,213.495,365.657,233.777,350.633,233.917,340.048,249.07,345.201,259.306,350.538,304.719,401.082,345.368,472.174,360.672,472.17,370.603,472.202,370.621,472.162
MidHip,218.383,431.568,213.457,426.331,213.413,421.553,218.289,421.324,218.756,426.278,223.897,421.423,223.899,426.408,233.778,426.251,248.857,426.336,253.953,426.36
RHip,178.133,426.73,178.03,426.252,177.972,421.377,178.128,416.439,183.188,421.459,198.287,421.239,193.284,421.543,208.423,421.389,213.576,421.455,218.574,421.489
RKnee,137.329,401.13,137.527,395.997,137.509,390.941,137.567,386.123,137.379,391.032,157.703,421.459,172.981,380.655,167.824,385.926,172.86,385.836,147.629,426.312
RAnkle,132.42,472.277,137.34,472.256,137.367,472.255,137.3,472.24,142.507,472.267,173.012,472.257,142.62,472.289,142.74,472.293,152.68,472.29,0.0,0.0
LHip,243.913,431.697,238.804,426.469,233.89,426.376,243.831,421.515,254.127,426.46,259.326,426.281,264.055,426.631,264.26,426.49,269.314,426.672,274.296,426.613
LKnee,274.39,401.121,289.64,396.025,294.638,391.195,294.506,391.176,299.614,390.974,299.793,396.052,309.95,406.146,310.072,411.266,310.06,416.408,310.002,416.394
LAnkle,248.954,472.303,258.908,472.314,243.971,472.311,238.904,472.286,258.999,472.285,269.315,472.193,340.086,472.326,340.379,472.325,269.49,472.323,274.446,472.301
REye,218.714,264.292,223.653,264.06,223.862,254.117,228.615,238.913,238.855,238.93,244.007,248.998,253.999,258.847,258.841,258.88,264.107,254.176,269.497,249.03
LEye,233.858,264.294,248.953,264.082,253.876,258.923,254.148,243.829,259.308,243.954,264.02,249.094,264.203,258.944,264.387,258.972,279.475,259.0,299.58,253.945
REar,203.248,269.442,208.506,264.374,218.379,259.089,218.447,254.048,218.76,253.995,223.695,258.85,228.692,259.195,228.89,263.979,253.949,259.255,259.282,258.898
LEar,254.02,269.44,259.018,264.442,259.162,264.053,264.14,254.043,269.204,258.983,269.416,259.129,274.326,264.047,279.466,264.128,299.459,264.133,304.812,259.136
LBigToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.086,472.311,294.703,472.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.198,472.321,299.663,472.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHeel,0.0,0.0,259.04,472.335,0.0,0.0,0.0,0.0,259.195,472.31,269.243,472.21,340.337,472.34,350.379,472.34,0.0,0.0,0.0,0.0
RBigToe,132.202,472.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHeel,132.275,472.261,0.0,0.0,0.0,0.0,0.0,0.0,142.396,472.24,0.0,0.0,142.469,472.28,142.561,472.284,152.679,472.281,0.0,0.0
