,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,370.737,269.364,370.721,269.352,370.711,269.398,370.669,269.378,370.608,269.437,365.703,269.49,365.689,274.273,365.684,269.424,365.656,269.417,370.704,269.456
neck,355.436,320.032,355.469,320.042,350.637,320.026,350.599,319.935,350.541,315.067,350.501,315.026,350.476,315.027,350.524,315.05,350.5,319.915,350.521,315.042
RShoulder,309.785,309.897,309.82,309.907,309.78,309.882,305.07,309.847,305.022,309.844,304.985,309.803,304.971,309.796,305.013,309.83,304.974,309.813,305.033,309.8
RElbow,294.582,370.752,294.656,370.676,294.543,370.752,294.543,370.747,294.498,370.751,294.476,370.76,289.656,370.779,294.566,370.775,289.653,370.766,294.46,370.653
RWrist,345.589,355.479,345.516,355.432,350.337,355.49,345.574,355.548,345.607,355.47,345.523,355.464,345.468,355.501,345.489,355.561,345.417,355.53,345.448,355.527
LShoulder,401.174,330.19,406.13,330.231,401.109,330.165,401.091,330.013,396.177,325.151,396.15,325.086,396.093,325.088,396.161,325.083,396.15,325.143,396.107,325.126
LElbow,431.506,385.874,431.682,385.946,431.502,385.92,426.56,380.929,426.53,380.873,426.435,380.674,426.362,380.755,426.342,380.713,426.308,380.767,426.315,380.881
LWrist,385.782,370.591,386.138,370.702,391.081,370.804,386.065,370.715,395.986,375.612,391.018,375.757,386.095,375.616,386.045,375.676,385.878,370.804,385.964,375.622
MidHip,345.306,436.709,345.299,436.709,345.236,431.794,345.281,436.644,345.244,431.762,345.315,431.767,345.361,431.787,345.354,431.801,345.312,431.769,345.268,431.759
RHip,309.98,431.65,309.948,431.615,309.893,431.5,309.959,431.592,309.899,431.499,310.01,431.524,314.862,431.539,314.832,431.552,310.007,431.544,309.954,431.504
RKnee,269.256,401.116,269.475,396.186,269.482,396.037,269.453,396.095,274.275,396.085,269.452,396.078,269.349,396.09,269.295,396.185,269.32,396.167,269.275,396.125
RAnkle,309.853,472.284,304.934,472.276,299.724,472.277,299.778,472.28,299.836,472.279,304.826,472.28,304.821,472.278,304.892,472.28,304.782,472.277,304.676,472.277
LHip,380.771,446.837,380.781,446.862,380.704,441.743,380.748,436.827,380.704,436.79,380.766,436.753,380.806,436.743,380.814,436.767,380.757,436.756,380.702,436.776
LKnee,0.0,0.0,431.738,390.916,431.726,391.001,431.588,390.941,431.577,390.896,431.624,390.913,431.542,390.926,431.616,390.925,431.691,386.199,431.689,390.989
LAnkle,0.0,0.0,406.187,472.308,406.186,472.309,406.289,472.308,411.235,472.307,406.266,472.303,406.287,472.305,406.207,472.305,406.147,472.307,401.161,472.306
REye,350.628,264.134,350.608,264.137,350.602,264.17,350.578,264.167,350.531,264.204,350.481,264.235,350.475,264.259,350.464,264.198,350.454,264.2,350.644,264.212
LEye,380.801,264.197,380.774,264.186,380.746,264.226,380.689,264.198,380.629,264.25,380.591,264.293,380.571,264.309,380.578,264.237,380.57,264.249,380.712,264.269
REar,340.336,264.412,340.328,264.448,340.294,264.477,340.264,264.439,340.234,264.443,340.21,264.443,340.221,264.441,340.224,264.434,340.205,264.454,340.316,264.409
LEar,386.048,269.477,386.025,269.485,385.954,269.474,385.874,269.396,385.793,269.41,385.766,269.453,385.732,269.419,385.776,269.381,385.785,269.452,385.833,269.473
LBigToe,0.0,0.0,406.132,472.338,406.22,472.333,0.0,0.0,0.0,0.0,406.196,472.337,406.199,472.338,406.201,472.336,406.184,472.338,401.214,472.335
LSmallToe,0.0,0.0,411.224,472.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHeel,0.0,0.0,0.0,0.0,411.327,472.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBigToe,299.717,472.348,299.724,472.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.574,472.344
RSmallToe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHeel,0.0,0.0,304.639,472.254,0.0,0.0,299.537,472.26,299.581,472.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
