,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,355.509,117.233,365.57,117.154,375.614,112.169,380.796,122.233,380.664,117.154,380.704,112.129,380.712,112.073,380.73,107.186,380.563,111.998,375.732,112.165
neck,340.485,167.866,345.469,167.861,350.511,167.901,365.596,172.865,375.792,167.909,380.715,167.798,380.801,162.719,380.872,162.72,380.999,167.851,381.067,172.753
RShoulder,305.046,157.725,310.059,157.727,320.002,157.667,335.166,162.746,340.139,162.731,340.338,157.722,340.392,152.723,340.416,152.765,345.121,167.728,345.277,167.942
RElbow,294.561,218.778,299.658,218.685,299.816,218.713,304.801,218.709,309.772,218.611,310.05,218.531,334.999,218.374,335.131,218.381,340.028,218.752,340.363,218.669
RWrist,299.404,269.472,299.717,269.237,299.807,264.409,304.916,269.334,309.916,264.377,305.068,259.364,310.064,264.136,320.101,259.219,335.024,264.125,340.167,259.207
LShoulder,380.555,177.693,381.059,177.729,386.04,177.742,391.034,177.892,411.149,177.701,416.403,172.946,421.247,167.808,421.393,167.788,421.516,172.758,421.51,172.858
LElbow,380.617,223.587,385.72,223.676,386.11,223.875,396.173,223.948,421.119,223.702,421.323,223.677,426.358,223.553,426.769,223.41,426.795,223.568,431.524,223.593
LWrist,380.692,264.484,385.774,274.27,386.145,274.416,401.1,269.48,416.316,274.387,421.126,274.308,421.24,269.265,421.373,264.373,421.362,264.511,421.4,264.458
MidHip,340.121,284.519,340.478,289.623,345.342,289.578,350.423,289.449,355.564,284.486,360.594,289.437,365.65,284.41,370.631,284.574,375.674,289.5,375.823,289.552
RHip,309.759,284.581,314.887,289.613,320.069,289.494,335.27,284.578,340.248,279.504,340.326,284.44,340.424,274.467,340.497,279.509,345.257,284.478,345.429,284.549
RKnee,304.885,380.786,305.05,380.914,305.034,380.816,314.883,380.639,314.904,375.872,325.083,380.659,330.149,370.784,330.173,375.762,335.208,380.611,335.196,375.779
RAnkle,309.843,472.221,309.926,472.246,305.061,472.222,310.004,472.201,304.961,472.22,309.86,472.233,309.807,472.211,304.911,472.233,310.039,472.226,314.899,472.218
LHip,350.635,284.404,365.723,289.611,375.746,294.472,380.83,289.508,381.102,284.531,385.815,289.521,386.047,284.541,386.167,289.544,391.045,289.634,391.116,294.426
LKnee,375.883,375.784,380.76,380.583,380.92,380.686,385.889,375.869,385.819,380.666,385.853,380.82,385.964,380.736,386.084,380.839,386.08,381.02,386.122,381.025
LAnkle,380.91,472.18,385.82,472.211,385.773,472.193,385.84,472.208,385.765,472.219,385.946,472.23,385.923,472.236,385.988,472.232,390.924,472.238,386.051,472.243
REye,345.59,106.981,350.495,106.909,360.535,102.155,375.709,107.13,375.585,107.028,375.647,102.202,375.663,102.173,375.662,102.063,370.732,102.109,365.703,106.914
LEye,370.64,107.143,375.741,107.039,380.735,106.938,385.755,112.002,381.087,107.118,385.699,106.941,385.701,106.896,385.733,102.106,381.022,102.125,380.853,106.917
REar,340.185,112.01,340.43,107.122,345.311,107.038,350.48,112.128,350.547,112.061,355.569,107.211,355.6,107.171,360.512,107.088,360.48,107.202,355.572,112.098
LEar,375.726,122.188,380.65,122.158,381.033,117.243,386.106,122.188,386.126,112.175,390.913,112.023,390.983,107.172,391.082,107.054,391.023,107.081,390.893,107.209
LBigToe,385.897,472.213,386.065,472.241,385.957,472.219,385.869,472.241,385.802,472.243,385.9,472.247,385.899,472.246,385.986,472.247,386.048,472.246,385.928,472.257
LSmallToe,396.039,472.211,406.185,472.24,401.074,472.227,396.178,472.243,396.058,472.256,401.167,472.254,401.208,472.265,406.226,472.262,411.271,472.261,406.252,472.267
LHeel,380.796,472.197,381.003,472.226,0.0,0.0,385.783,472.226,385.743,472.238,385.969,472.241,386.046,472.251,386.068,472.24,391.115,472.25,0.0,0.0
RBigToe,309.959,472.253,309.864,472.266,0.0,0.0,309.8,472.233,304.735,472.243,304.933,472.256,299.8,472.237,299.686,472.255,304.796,472.258,304.81,472.254
RSmallToe,304.702,472.259,304.845,472.262,0.0,0.0,299.814,472.237,299.676,472.253,299.807,472.257,294.689,472.228,294.65,472.257,299.701,472.244,299.672,472.234
RHeel,314.928,472.23,315.01,472.25,314.882,472.234,320.078,472.214,310.014,472.229,315.023,472.237,319.937,472.229,309.965,472.241,325.015,472.237,325.1,472.231
