,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,314.852,122.169,314.84,127.198,315.046,127.269,325.121,117.153,330.158,117.072,335.191,112.215,340.255,122.226,340.515,127.297,345.506,127.235,350.519,122.189
neck,309.818,177.751,305.091,177.794,305.09,177.766,305.082,177.757,309.834,172.998,309.96,172.926,319.958,177.734,325.08,177.81,335.018,177.684,340.038,172.81
RShoulder,274.489,177.843,274.432,177.891,274.402,177.824,274.417,177.719,279.388,172.868,284.462,167.908,294.562,172.805,299.432,172.928,299.646,167.889,299.94,162.825
RElbow,264.249,223.904,264.249,228.706,264.167,228.647,264.134,223.85,264.199,223.712,264.273,223.579,264.385,223.586,264.483,223.57,269.354,223.559,274.426,223.44
RWrist,269.389,284.583,269.447,289.57,274.291,289.602,274.481,289.619,279.508,289.52,279.518,289.437,284.504,284.585,284.581,289.498,289.636,279.521,294.569,274.349
LShoulder,345.413,177.712,345.328,177.78,345.334,177.791,345.324,177.784,345.383,177.753,345.45,177.791,345.6,177.96,350.375,178.0,355.419,178.0,365.549,177.785
LElbow,370.648,223.545,360.682,223.694,360.568,223.75,355.427,223.853,350.629,223.735,355.472,223.784,355.453,223.941,355.462,228.646,360.627,228.644,370.732,223.674
LWrist,365.658,264.518,370.657,269.397,370.596,274.451,360.534,274.407,360.561,274.291,360.62,269.351,365.567,269.401,365.709,264.471,370.778,269.282,380.592,264.314
MidHip,309.908,289.509,309.909,289.556,309.905,289.539,309.939,294.537,309.977,294.453,314.853,294.449,315.059,294.476,324.971,294.525,330.03,289.578,335.134,284.553
RHip,299.405,294.445,299.408,294.483,294.719,294.461,299.465,294.684,299.503,294.592,299.616,294.573,299.783,294.579,299.881,294.617,304.617,289.638,304.878,284.591
RKnee,299.818,380.681,299.786,380.757,299.875,380.728,304.551,380.705,304.591,380.653,304.678,380.649,299.943,380.703,299.95,380.945,304.634,380.827,304.918,375.879
RAnkle,330.103,472.227,325.042,472.236,330.023,472.242,320.034,472.232,320.065,472.226,325.026,472.225,309.824,472.219,309.875,472.227,304.962,472.222,314.843,472.23
LHip,340.307,284.562,340.3,289.445,340.297,284.585,340.276,294.466,340.292,289.614,340.353,289.607,340.473,294.426,345.197,294.425,345.337,289.499,345.564,284.469
LKnee,350.599,370.63,350.58,370.78,355.429,370.716,355.458,370.783,355.437,370.693,355.465,370.572,355.545,370.663,365.602,375.747,370.647,370.763,375.585,365.551
LAnkle,381.048,446.898,380.959,472.18,380.917,472.169,380.757,446.851,380.718,451.93,380.759,441.767,380.833,436.841,380.822,446.883,380.811,441.776,380.918,446.887
REye,304.906,107.166,304.881,112.087,305.014,112.127,309.93,106.964,314.913,106.92,320.05,102.231,335.144,107.146,340.088,112.033,340.504,107.201,345.374,107.075
LEye,325.01,107.158,320.114,112.069,330.05,112.19,335.18,106.996,340.01,106.977,340.226,106.976,345.179,111.999,345.46,112.121,350.615,112.088,360.613,111.985
REar,299.652,122.15,299.613,127.151,299.66,122.252,299.739,112.179,304.565,112.119,304.688,111.995,309.856,117.098,310.06,117.197,324.974,117.159,335.073,112.101
LEar,335.069,117.227,330.187,122.239,335.098,127.146,335.282,117.16,340.19,122.13,340.432,122.271,345.523,127.274,350.373,132.159,355.582,132.447,360.677,132.158
LBigToe,386.074,472.195,386.04,472.205,386.111,472.192,386.05,472.183,386.084,472.184,386.05,472.174,386.158,451.935,386.014,472.182,386.114,472.183,390.969,472.193
LSmallToe,401.187,472.194,401.166,472.207,406.136,472.187,401.094,472.181,401.162,472.18,401.076,472.167,401.17,446.845,396.172,472.189,401.1,472.18,406.218,472.187
LHeel,381.034,472.197,380.984,472.211,380.935,472.205,380.66,472.202,380.628,472.206,380.624,472.192,380.695,472.192,380.701,472.202,375.859,472.196,380.668,472.205
RBigToe,330.105,472.247,325.046,472.256,330.03,472.256,325.026,472.248,325.065,472.241,325.15,472.244,315.019,472.242,315.018,472.247,314.86,472.246,319.974,472.247
RSmallToe,314.919,472.259,309.893,472.265,314.895,472.27,309.952,472.258,309.939,472.25,309.994,472.251,304.808,472.248,304.876,472.257,304.699,472.258,304.931,472.262
RHeel,335.13,472.234,330.178,472.242,330.216,472.247,325.099,472.246,325.114,472.242,330.039,472.239,314.861,472.244,314.91,472.248,309.85,472.246,319.942,472.242
