,0 - X data,0 - Y data,1 - X data,1 - Y data,2 - X data,2 - Y data,3 - X data,3 - Y data,4 - X data,4 - Y data,5 - X data,5 - Y data,6 - X data,6 - Y data,7 - X data,7 - Y data,8 - X data,8 - Y data,9 - X data,9 - Y data
nose,350.572,142.589,355.546,142.794,360.545,152.568,370.593,157.683,370.791,152.593,375.77,142.74,380.568,142.806,380.634,142.708,380.618,147.756,380.643,147.76
neck,345.539,193.186,350.381,198.201,350.623,208.314,355.577,208.366,360.527,203.288,365.549,193.319,370.586,193.247,370.669,193.28,370.7,203.33,370.751,203.368
RShoulder,314.85,193.271,319.974,193.277,325.114,203.312,330.139,203.27,330.223,193.336,335.037,193.133,335.141,188.316,335.204,193.136,339.986,198.269,340.023,198.311
RElbow,299.96,258.906,304.762,258.993,305.01,259.161,309.914,259.065,309.949,254.085,309.978,258.88,309.946,258.895,309.928,259.0,314.904,259.097,314.99,259.043
RWrist,299.499,304.58,299.614,304.705,299.777,304.745,304.557,304.817,304.817,304.611,304.805,304.611,304.705,304.699,304.619,304.779,304.768,304.892,304.806,304.843
LShoulder,385.877,193.13,386.039,198.227,386.217,208.345,391.018,208.433,391.141,203.368,396.044,193.297,396.212,193.178,401.167,193.204,396.187,203.361,396.208,203.406
LElbow,386.195,258.904,396.12,259.016,401.192,259.154,411.186,259.084,416.153,259.15,416.334,259.12,416.376,258.985,416.424,259.054,416.264,259.206,416.178,259.288
LWrist,390.924,304.884,406.15,304.844,416.171,304.888,416.327,304.861,421.147,309.772,421.201,305.006,421.187,304.942,421.21,304.97,416.399,309.92,416.34,309.926
MidHip,345.224,305.051,345.569,309.822,350.37,309.977,350.489,310.0,350.603,309.954,350.646,309.887,355.454,305.067,355.472,309.831,355.542,310.035,355.498,309.961
RHip,320.091,304.987,335.093,305.067,335.296,309.954,340.017,309.976,340.125,309.923,340.158,309.876,340.175,305.051,340.168,309.796,340.24,309.966,340.231,309.919
RKnee,310.001,396.194,314.874,401.154,319.983,401.143,320.076,396.042,324.995,396.003,329.998,391.188,330.015,391.027,325.089,391.179,324.99,391.212,324.987,391.104
RAnkle,305.084,472.265,305.013,472.279,309.867,472.287,309.847,472.271,309.904,472.269,309.936,472.259,309.925,472.261,309.915,472.273,309.789,472.272,309.87,472.272
LHip,370.723,309.774,380.578,309.877,380.733,310.038,380.855,310.074,380.927,310.008,380.952,309.903,380.978,305.097,381.024,309.867,381.065,314.883,381.016,310.017
LKnee,355.425,401.196,365.644,406.299,375.611,411.212,375.768,406.192,375.834,406.221,375.812,406.207,380.519,401.095,375.862,406.143,375.877,411.243,380.514,406.161
LAnkle,345.564,472.277,345.601,472.284,350.548,472.283,355.425,472.282,355.51,472.283,350.604,472.279,355.598,472.276,355.554,472.28,355.479,472.287,355.589,472.286
REye,345.401,137.635,345.589,142.382,350.354,142.649,350.643,147.555,355.557,142.682,360.63,142.329,365.731,142.387,370.634,142.306,370.667,142.661,370.688,142.672
LEye,360.672,137.617,370.66,142.395,375.603,142.713,375.875,147.622,380.661,142.733,380.774,142.344,380.905,142.416,380.954,142.32,380.985,142.709,380.997,142.711
REar,335.29,142.714,340.183,147.486,340.385,147.764,345.167,152.658,345.183,147.716,345.333,142.789,345.485,142.735,345.505,142.752,345.572,147.76,345.571,152.577
LEar,375.758,142.651,380.609,147.584,380.799,152.756,380.966,162.711,381.061,157.633,385.811,147.525,385.932,147.472,385.99,147.483,385.975,152.746,386.0,152.767
LBigToe,350.541,472.297,350.582,472.319,360.635,472.309,360.648,472.299,365.708,472.297,365.638,472.296,365.741,472.29,370.663,472.292,0.0,0.0,370.649,472.295
LSmallToe,360.616,472.288,0.0,0.0,365.638,472.309,370.657,472.292,370.745,472.297,365.744,472.302,375.729,472.283,370.805,472.297,0.0,0.0,375.674,472.293
LHeel,345.327,472.273,345.312,472.28,345.45,472.273,345.561,472.275,350.436,472.273,345.532,472.263,350.462,472.261,350.43,472.268,350.424,472.28,350.482,472.278
RBigToe,304.87,472.307,304.799,472.319,0.0,0.0,304.951,472.312,305.014,472.311,309.803,472.304,0.0,0.0,309.794,472.312,304.904,472.308,304.96,472.304
RSmallToe,304.759,472.308,304.701,472.32,0.0,0.0,304.787,472.312,304.798,472.311,304.803,472.306,0.0,0.0,304.849,472.315,304.737,472.312,304.808,472.31
RHeel,305.022,472.26,304.976,472.264,309.913,472.266,309.868,472.258,309.929,472.254,309.92,472.247,309.972,472.251,309.916,472.257,309.851,472.254,309.94,472.255
